date,lfalls,date_fc,length_fc
2021-06-30,NA,2021-07-29,-29
2021-07-01,2456.378205128205,2021-07-29,-28
2021-07-02,2988.025641025641,2021-07-29,-27
2021-07-03,3579.370370370371,2021-07-29,-26
2021-07-04,2904.4166666666665,2021-07-29,-25
2021-07-05,2747.375,2021-07-29,-24
2021-07-06,2604.083333333334,2021-07-29,-23
2021-07-07,2443.666666666666,2021-07-29,-22
2021-07-08,2466.795,2021-07-29,-21
2021-07-09,2524.5533333333333,2021-07-29,-20
2021-07-10,2738.666666666667,2021-07-29,-19
2021-07-11,2651.3466666666664,2021-07-29,-18
2021-07-12,2303.625,2021-07-29,-17
2021-07-13,2233.2633333333333,2021-07-29,-16
2021-07-14,3129.3186206896553,2021-07-29,-15
2021-07-15,2302.1623563218386,2021-07-29,-14
2021-07-16,2616.0000000000005,2021-07-29,-13
2021-07-17,2342.208333333333,2021-07-29,-12
2021-07-18,2442.1600000000008,2021-07-29,-11
2021-07-19,2546.865,2021-07-29,-10
2021-07-20,2534.0288461538457,2021-07-29,-9
2021-07-21,2382.349358974359,2021-07-29,-8
2021-07-22,2261.3916666666664,2021-07-29,-7
2021-07-23,2022.3266666666673,2021-07-29,-6
2021-07-24,1888.5416666666667,2021-07-29,-5
2021-07-25,1706.2916666666663,2021-07-29,-4
2021-07-26,1672.128333333333,2021-07-29,-3
2021-07-27,1743.584615384615,2021-07-29,-2
2021-07-28,1497.2660256410252,2021-07-29,-1
2021-07-29,1603.5416666666667,2021-07-29,0
2021-07-30,NA,2021-07-29,1
2021-07-31,NA,2021-07-29,2
2021-08-01,NA,2021-07-29,3
