date,lfalls,date_fc,length_fc
2021-06-26,NA,2021-07-25,-29
2021-06-27,3278.281666666666,2021-07-25,-28
2021-06-28,2994.383333333333,2021-07-25,-27
2021-06-29,2710.9230769230767,2021-07-25,-26
2021-06-30,2523.089743589743,2021-07-25,-25
2021-07-01,2454.6474358974356,2021-07-25,-24
2021-07-02,2985.2008547008545,2021-07-25,-23
2021-07-03,3594.0509259259265,2021-07-25,-22
2021-07-04,2903.6250000000005,2021-07-25,-21
2021-07-05,2745.2500000000005,2021-07-25,-20
2021-07-06,2596.8750000000005,2021-07-25,-19
2021-07-07,2444.083333333333,2021-07-25,-18
2021-07-08,2467.378333333333,2021-07-25,-17
2021-07-09,2521.1783333333333,2021-07-25,-16
2021-07-10,2739.4416666666666,2021-07-25,-15
2021-07-11,2645.3633333333332,2021-07-25,-14
2021-07-12,2306.458333333333,2021-07-25,-13
2021-07-13,2238.0133333333333,2021-07-25,-12
2021-07-14,3130.8703448275855,2021-07-25,-11
2021-07-15,2308.193965517242,2021-07-25,-10
2021-07-16,2607.583333333333,2021-07-25,-9
2021-07-17,2339.458333333333,2021-07-25,-8
2021-07-18,2444.3433333333332,2021-07-25,-7
2021-07-19,2549.4733333333334,2021-07-25,-6
2021-07-20,2537.5128205128212,2021-07-25,-5
2021-07-21,2375.9487179487182,2021-07-25,-4
2021-07-22,2227.1000000000004,2021-07-25,-3
2021-07-23,2099.9516666666673,2021-07-25,-2
2021-07-24,1658.7916666666667,2021-07-25,-1
2021-07-25,1621.7499999999998,2021-07-25,0
2021-07-26,NA,2021-07-25,1
2021-07-27,NA,2021-07-25,2
2021-07-28,NA,2021-07-25,3
