date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,wnet_wma_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-06-21,110.15,134.43,142.58,0,11.3,23.04,75.89,58.15,5.05,393.41,142.58,-5.05,398.46000000000004,393.41
2021-06-22,96.49000000000001,121.59,141.81,0,11.98,17.52,75.32,55.644999999999996,5.37,366.5,141.81,-5.37,371.87,366.5
2021-06-23,84.28999999999999,108.275,135.04,0,11.71,13.825,73.99000000000001,55.815,5.595000000000001,333.72,135.04,-5.595000000000001,339.315,333.71999999999997
2021-06-24,90.995,110.05,135.64499999999998,0,10.905000000000001,17.495,73.20500000000001,59.260000000000005,5.275,342.32,135.64499999999998,-5.275,347.595,342.32000000000005
2021-06-25,105.455,114.32499999999999,135.89499999999998,0,11.11,21.48,73.16,61.54,4.92,361.86499999999995,135.89499999999998,-4.92,366.78499999999997,361.86499999999995
2021-06-26,106.095,117.47999999999999,132.70999999999998,0,11.280000000000001,22.605,73.3,61.355,4.7,362.86499999999995,132.70999999999998,-4.7,367.56499999999994,362.86499999999995
2021-06-27,108.06,121.37,137.95999999999998,0,17.875,16.439999999999998,73.47999999999999,57.415,4.555,380.71,137.95999999999998,-4.555,385.265,380.71
2021-06-28,124.785,130.865,142.875,0,17.755,19.825,73.58,57.065,3.9450000000000003,412.335,142.875,-3.9450000000000003,416.28,412.335
2021-06-29,134.215,138.975,153.79500000000002,0,19.085,20.18,74.67,57.965,3.41,442.65999999999997,153.79500000000002,-3.41,446.07,442.65999999999997
2021-06-30,138.84,137.465,161.29500000000002,0,20.1,20.04,75.695,59.79,3.6550000000000002,454.04499999999996,161.29500000000002,-3.6550000000000002,457.70000000000005,454.0450000000001
2021-07-01,119.925,130.7,155.54500000000002,0,14.379999999999999,20.134999999999998,75.735,59.86,4.734999999999999,415.815,155.54500000000002,-4.734999999999999,420.55,415.815
