date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-04-04,56.82,93.33,112.04,0,12.55,11.04,71.98,56.57,6.83,112.04,-6.83,274.74,267.91
2021-04-05,61.09,91.86,115.375,0,12.54,11.04,71.78999999999999,57.745000000000005,6.83,115.375,-6.83,280.865,274.035
2021-04-06,68.22999999999999,90.37,112.63999999999999,0,12.665,11.04,71.56,60.58,6.83,112.63999999999999,-6.83,283.90500000000003,277.07500000000005
2021-04-07,71.645,90.285,111.495,0,12.260000000000002,11.04,71.535,61.769999999999996,6.83,111.495,-6.83,285.68499999999995,278.85499999999996
2021-04-08,71.56,89.965,119.045,0,9.745000000000001,12.93,71.64,62.394999999999996,6.83,119.045,-6.83,290.31500000000005,283.48500000000007
2021-04-09,64.78,89.675,124.355,0,7.08,14.82,72.08000000000001,60.015,6.83,124.355,-6.83,285.89,279.06
2021-04-10,55.505,89.52000000000001,118.5,0,6.595,14.82,71.765,55.51,6.83,118.5,-6.83,270.12,263.29
2021-04-11,57.36,96.375,116.195,0,7.609999999999999,14.82,70.155,55.055,6.83,116.195,-6.83,277.54,270.71000000000004
2021-04-12,66.11500000000001,102.35,116.015,0,7.95,14.82,70.29499999999999,54.86,6.83,116.015,-6.83,292.43,285.6
2021-04-13,70.00999999999999,94.49,109.715,0,7.695,14.82,72.4,54.900000000000006,6.83,109.715,-6.83,281.90999999999997,275.08
2021-04-14,82.015,93.1,115.375,0,7.945,14.82,73.42,58.925,6.83,115.375,-6.83,298.435,291.605
2021-04-15,84.385,95.08,117.69,0,7.985,14.82,73.61500000000001,57.15,6.83,117.69,-6.83,305.14,298.31
2021-04-16,85.725,91.625,111.375,0,7.62,14.82,73.61500000000001,55.45,6.83,111.375,-6.83,296.345,289.51500000000004
2021-04-17,85.995,95.87,111.04,0,7.3100000000000005,14.82,72.62,58.81,6.83,111.04,-6.83,300.21500000000003,293.38500000000005
2021-04-18,73.32,98.025,111.625,0,8.125,14.82,73.77,58.99,6.83,111.625,-6.83,291.095,284.26500000000004
2021-04-19,74.39500000000001,98.965,117.46,0,8.74,14.82,76.63,55.845,6.83,117.46,-6.83,299.56000000000006,292.7300000000001
2021-04-20,75.035,102.055,124.835,0,8.684999999999999,14.82,77.165,49.865,6.83,124.835,-6.83,310.61,303.78000000000003
2021-04-21,69.86500000000001,100.875,121.85499999999999,0,9.905,14.735,75.815,51.675,6.83,121.85499999999999,-6.83,302.5,295.67
2021-04-22,69.965,93.91999999999999,122.69,0,9.445,14.735,73.38,61.47,6.822062211981567,122.69,-6.822062211981567,296.02,289.1979377880184
2021-04-23,71.1,92.785,121.58500000000001,0,6.93,14.82,71.805,64.905,6.770161290322581,121.58500000000001,-6.770161290322581,292.40000000000003,285.6298387096775
2021-04-24,70.965,94.94999999999999,118.98,0,6.365,14.82,72.955,63.275,6.711543778801843,118.98,-6.711543778801843,291.26,284.54845622119814
2021-04-25,68.255,92.34,108.58500000000001,0,7.545,14.82,74.965,62.675,6.652926267281106,108.58500000000001,-6.652926267281106,276.725,270.07207373271893
2021-04-26,67.59,92.315,107.33500000000001,0,8.405,14.82,74.85,62.16,6.594308755760369,107.33500000000001,-6.594308755760369,275.645,269.0506912442396
2021-04-27,75.225,95.525,122.21000000000001,0,8.61,14.82,73.19,65.47999999999999,6.535691244239631,122.21000000000001,-6.535691244239631,301.57000000000005,295.03430875576043
2021-04-28,82.97,98.68,126.83500000000001,0,8.67,14.82,73.59,68.66499999999999,6.477073732718894,126.83500000000001,-6.477073732718894,317.15500000000003,310.6779262672811
2021-04-29,83.62,100.99000000000001,131.71,0,8.52,14.82,77.87,67.45,6.418456221198157,131.71,-6.418456221198157,324.84000000000003,318.4215437788019
2021-04-30,77.33,99.49000000000001,140.44,0,9.55,14.82,77.355,64.375,6.359838709677419,140.44,-6.359838709677419,326.81,320.45016129032257
2021-05-01,76.46000000000001,93.4,131.255,0,12.719999999999999,12.49,73.96000000000001,62.614999999999995,6.307937788018433,131.255,-6.307937788018433,313.83500000000004,307.5270622119816
2021-05-02,81.4,98.555,119.315,0,13.315000000000001,12.49,74.17,62.465,6.3,119.315,-6.3,312.585,306.28499999999997
2021-05-03,83.07,102.63,123.14500000000001,0,11.15,14.82,74.11000000000001,59.265,6.3,123.14500000000001,-6.3,319.995,313.695
2021-05-04,77.125,107.17,126.66499999999999,0,10.79,14.82,73.73,56.17,6.3,126.66499999999999,-6.3,321.75,315.45
2021-05-05,90.65,113.995,113.655,0,10.915,14.82,73.42,56.17,6.3,113.655,-6.3,329.21500000000003,322.915
2021-05-06,110.575,113.425,107.035,0,10.879999999999999,14.82,73.42,56.17,6.3,107.035,-6.3,341.915,335.615
2021-05-07,111.045,114.875,112.895,0,10.27,14.82,73.42,56.17,6.3,112.895,-6.3,349.085,342.78499999999997
2021-05-08,109.9,116.595,108.09,0,9.55,14.82,73.42,56.17,6.3,108.09,-6.3,344.13500000000005,337.83500000000004
2021-05-09,112.505,117.16999999999999,107.97999999999999,0,10.49,14.82,73.42,56.17,6.3,107.97999999999999,-6.3,348.145,341.84499999999997
2021-05-10,113.265,115.69999999999999,112.64,0,11.344999999999999,14.82,73.42,56.17,6.3,112.64,-6.3,352.95000000000005,346.65000000000003
2021-05-11,112.48,115.83,115.05000000000001,0,11.075,14.82,73.42,56.17,6.3,115.05000000000001,-6.3,354.435,348.135
2021-05-12,112.14500000000001,115.495,115.155,0,10.864999999999998,14.82,73.42,56.17,6.3,115.155,-6.3,353.66,347.36
2021-05-13,111.065,114.455,114.315,0,10.739999999999998,14.82,73.42,56.17,6.3,114.315,-6.3,350.575,344.275
2021-05-14,111.815,115.38499999999999,112.16499999999999,0,10.325,14.82,73.42,56.17,6.3,112.16499999999999,-6.3,349.69,343.39
2021-05-15,113.73,118.14,107.97,0,10.12,14.82,73.42,56.17,6.3,107.97,-6.3,349.96,343.65999999999997
2021-05-16,116.98,120.17,108.94,0,10.725,14.82,73.42,56.17,6.3,108.94,-6.3,356.81500000000005,350.51500000000004
2021-05-17,114.805,118.745,113.56,0,10.92,14.82,73.42,56.17,6.3,113.56,-6.3,358.03000000000003,351.73
2021-05-18,112.32,116.875,114.48,0,10.875,14.82,73.42,56.17,6.3,114.48,-6.3,354.55,348.25
2021-05-19,110.96000000000001,114.17500000000001,114.215,0,11.145,14.82,73.42,56.17,6.3,114.215,-6.3,350.495,344.195
2021-05-20,108.47,112.26,114.23,0,11.13,14.82,73.42,56.17,6.3,114.23,-6.3,346.09,339.78999999999996
