date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-04-30,74.02,95.83,144.88,0,15.26,11.52,73.76,62.66,6.3,144.88,-6.3,329.98999999999995,323.68999999999994
2021-05-01,76.46000000000001,93.4,131.255,0,15.04,10.84,73.96000000000001,62.614999999999995,6.3,131.255,-6.3,316.15500000000003,309.855
2021-05-02,81.4,98.555,119.315,0,15.515,10.84,74.17,62.465,6.285847921225383,119.315,-6.285847921225383,314.78499999999997,308.4991520787746
2021-05-03,83.07,102.63,123.14500000000001,0,15.945,11.52,74.11000000000001,59.265,6.193315098468271,123.14500000000001,-6.193315098468271,324.79,318.5966849015318
2021-05-04,77.125,101.45,126.66499999999999,0,15.875,11.52,73.73,55.405,6.088807439824945,126.66499999999999,-6.088807439824945,321.115,315.02619256017505
2021-05-05,72.83000000000001,101.005,127.335,0,15.645,11.52,73.9,54.36,5.984299781181619,127.335,-5.984299781181619,316.815,310.8307002188184
2021-05-06,72.445,94.845,109.69,0,15.34,11.52,73.33500000000001,56.019999999999996,5.8797921225382925,109.69,-5.8797921225382925,292.32,286.4402078774617
2021-05-07,73.83,94.555,108.58500000000001,0,15.05,11.52,71.58000000000001,59.89,5.775284463894967,108.58500000000001,-5.775284463894967,292.02000000000004,286.24471553610505
2021-05-08,66.5,97.14500000000001,123.71000000000001,0,14.765,11.52,70.27000000000001,58.855000000000004,5.6707768052516405,123.71000000000001,-5.6707768052516405,302.12,296.44922319474836
2021-05-09,59.835,93.64500000000001,116.16499999999999,0,15.695,11.52,69.815,53.67,5.566269146608315,116.16499999999999,-5.566269146608315,285.34,279.77373085339167
2021-05-10,73.845,95.86,116.625,0,16.35,11.52,71.5,51.355000000000004,5.4617614879649885,116.625,-5.4617614879649885,302.68,297.21823851203504
2021-05-11,77.08,99.82,124.9,0,16.27,11.52,74.23,51.239999999999995,5.357253829321663,124.9,-5.357253829321663,318.07,312.7127461706783
