date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,wnet_wma_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-06-23,85.75,107.8,129.04,0,10.76,15.65,73.23,58.49,5.5,327.85,129.04,-5.5,333.34999999999997,327.84999999999997
2021-06-24,90.995,110.05,135.64499999999998,0,10.905000000000001,17.495,73.20500000000001,59.260000000000005,5.275,342.32,135.64499999999998,-5.275,347.595,342.32000000000005
2021-06-25,105.455,114.32499999999999,135.89499999999998,0,11.11,21.48,73.16,61.54,4.92,361.86499999999995,135.89499999999998,-4.92,366.78499999999997,361.86499999999995
2021-06-26,106.095,117.47999999999999,132.70999999999998,0,11.280000000000001,22.605,73.3,61.355,4.7,362.86499999999995,132.70999999999998,-4.7,367.56499999999994,362.86499999999995
2021-06-27,108.06,121.37,137.95999999999998,0,17.875,16.439999999999998,73.47999999999999,57.415,4.555,380.71,137.95999999999998,-4.555,385.265,380.71
2021-06-28,124.785,130.865,142.875,0,17.755,19.825,73.58,57.065,3.9450000000000003,412.335,142.875,-3.9450000000000003,416.28,412.335
2021-06-29,134.215,138.975,153.79500000000002,0,19.085,20.18,74.67,57.965,3.41,442.65999999999997,153.79500000000002,-3.41,446.07,442.65999999999997
2021-06-30,138.84,137.465,161.29500000000002,0,20.1,20.04,75.695,59.79,3.6550000000000002,454.04499999999996,161.29500000000002,-3.6550000000000002,457.70000000000005,454.0450000000001
2021-07-01,119.925,130.7,155.54500000000002,0,14.379999999999999,20.134999999999998,75.735,59.86,4.734999999999999,415.815,155.54500000000002,-4.734999999999999,420.55,415.815
2021-07-02,89.815,113.22999999999999,143.315,0,12.425,17.075,73.355,57.379999999999995,5.539072164948453,353.24592783505153,143.315,-5.539072164948453,358.785,353.2459278350516
2021-07-03,83.655,105.63,91.875,0,10.21,21.96,70.405,57.91,5.206082474226804,286.1639175257732,91.875,-5.206082474226804,291.36999999999995,286.1639175257732
2021-07-04,89.285,107.465,89.19,0,13.455,21.96,70.845,58.235,4.83,294.565,89.19,-4.83,299.395,294.565
2021-07-05,107.265,113.185,132.04500000000002,0,16.035,21.96,72.265,58.26,4.453917525773196,364.0760824742268,132.04500000000002,-4.453917525773196,368.53000000000003,364.07608247422684
2021-07-06,118.16999999999999,125.54,136.89,0,14.35,23.585,72.905,56.724999999999994,4.120927835051547,390.8290721649484,136.89,-4.120927835051547,394.95,390.82907216494846
2021-07-07,125.185,131.14,149.16,0,18.33,20.795,77.81,57.56999999999999,4.205,419.61,149.16,-4.205,423.815,419.61
2021-07-08,113.2,123.775,154.315,0,19.265,19.17,80.78,60.43,4.3475206611570245,406.207479338843,154.315,-4.3475206611570245,410.55499999999995,406.2074793388429
2021-07-09,90.4,115.095,146.23000000000002,0,13.524999999999999,21.96,74.32,60.14,4.396694214876033,360.853305785124,146.23000000000002,-4.396694214876033,365.25,360.85330578512395
2021-07-10,92.89500000000001,114.19,135.81,0,13.684999999999999,21.96,70.88,59.36,4.4522314049586775,352.12776859504135,135.81,-4.4522314049586775,356.58,352.1277685950413
2021-07-11,97.4,116.22,132.685,0,16.645,21.96,72.14500000000001,59.335,4.507768595041322,358.44223140495865,132.685,-4.507768595041322,362.95,358.44223140495865
2021-07-12,116.38,132.06,141.16500000000002,0,18.14,21.96,74.33500000000001,60.405,4.563305785123967,403.181694214876,141.16500000000002,-4.563305785123967,407.745,403.181694214876
2021-07-13,128.58,140.815,149.815,0,14.625,24.285,78.155,56.465,4.6124793388429755,429.22252066115703,149.815,-4.6124793388429755,433.835,429.222520661157
2021-07-14,128.845,140.85500000000002,158.755,0,12.145,26.805,78.89500000000001,53.394999999999996,4.855,435.745,158.755,-4.855,440.6,435.745
2021-07-15,121.29,135.75,157.27499999999998,0,15.67,24.48,57.07,54.435,4.9132,425.07180000000005,157.27499999999998,-4.9132,429.985,425.0718
2021-07-16,122.675,135.85,141.48,0,19.425,16.68,43.035,57.754999999999995,3.9068,415.5231999999999,141.48,-3.9068,419.43,415.52320000000003
2021-07-17,124.60499999999999,137.255,123.26499999999999,0,17.775,16.68,63.565,60.79,3.7193150684931506,399.1806849315068,123.26499999999999,-3.7193150684931506,402.9,399.18068493150685
2021-07-18,109.185,124.88,130.32999999999998,0,16.15,21.96,76.65,55.7,3.6494520547945206,376.8955479452055,130.32999999999998,-3.6494520547945206,380.54499999999996,376.89554794520546
2021-07-19,143.845,125.865,146.19,0,16.305,21.96,76.13,57.6,3.5705479452054796,428.63445205479456,146.19,-3.5705479452054796,432.205,428.6344520547945
2021-07-20,187.06,128.28,146.29500000000002,0,18.85,16.34,76.13,61.105000000000004,3.5006849315068496,476.9843150684932,146.29500000000002,-3.5006849315068496,480.485,476.9843150684932
2021-07-21,181.83499999999998,134.43,151.98000000000002,0,17.85,16.34,76.13,60.89,3.49,482.60499999999996,151.98000000000002,-3.49,486.095,482.605
2021-07-22,177.765,131.19,151.125,0,14.425,21.96,76.13,57.53,3.49,471.015,151.125,-3.49,474.505,471.015
2021-07-23,186.57,58.52,146.295,0,15.5,21.96,76.13,26.07,3.49,403.395,146.295,-3.49,406.885,403.395
2021-07-24,199.345,102.645,108.57,0,17.295,21.96,76.13,0,3.49,424.365,108.57,-3.49,427.85499999999996,424.36499999999995
2021-07-25,246.115,226.055,99.07,0,25.955,21.96,76.13,0,3.49,593.705,99.07,-3.49,597.195,593.705
2021-07-26,284.255,248.555,131.745,0,33.55,21.96,76.13,0,3.49,694.615,131.745,-3.49,698.105,694.615
2021-07-27,286.90999999999997,251.485,137.07999999999998,0,34.010000000000005,21.96,76.13,0,3.49,705.995,137.07999999999998,-3.49,709.4849999999999,705.9949999999999
2021-07-28,234.82999999999998,226.95,134.5,0,24.57,21.96,76.13,0,3.49,617.36,134.5,-3.49,620.85,617.36
2021-07-29,182.04000000000002,201.59,129.52499999999998,0,15.135,21.96,76.13,0,3.49,524.8,129.52499999999998,-3.49,528.29,524.8
2021-07-30,185.11,204.52,124.89999999999999,0,15.24,21.96,76.13,0,3.49,526.28,124.89999999999999,-3.49,529.77,526.28
2021-07-31,184.395,208.305,118.245,0,14.735,21.96,76.13,0,3.49,522.19,118.245,-3.49,525.68,522.1899999999999
2021-08-01,186.01,201.825,115.63,0,15.135,21.96,76.13,0,3.49,515.11,115.63,-3.49,518.6,515.11
2021-08-02,189.235,194.72,119.445,0,16.134999999999998,21.96,76.13,0,3.49,516.0450000000001,119.445,-3.49,519.535,516.045
2021-08-03,191.29,196.965,124.13499999999999,0,16.494999999999997,21.96,76.13,0,3.49,525.395,124.13499999999999,-3.49,528.885,525.395
2021-08-04,183.41,191.56,121.495,0,15.259999999999998,21.96,76.13,0,3.49,508.235,121.495,-3.49,511.72499999999997,508.23499999999996
2021-08-05,214.155,208.685,121.045,0,20.805,21.96,76.13,0,3.49,561.2,121.045,-3.49,564.6899999999999,561.1999999999999
2021-08-06,219.905,212.235,119.19,0,21.16,21.96,76.13,0,3.49,569,119.19,-3.49,572.49,569
2021-08-07,155.565,174.645,108.175,0,8.845,21.96,76.13,0,3.49,443.74,108.175,-3.49,447.23,443.74
2021-08-08,126.76,157.68,102.63,0,3.2,21.96,76.13,0,3.49,386.78,102.63,-3.49,390.27,386.78
