date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,wnet_wma_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-08-05,166.29000000000002,182.98,117.09,0,22.939999999999998,11.04,76.04,0,5.35,483.94999999999993,117.09,-5.35,489.3,483.95
2021-08-06,161.64499999999998,185.92,111.805,0,21.805,11.04,76.04,0,5.35,475.82499999999993,111.805,-5.35,481.175,475.825
2021-08-07,154.43,179.995,99.565,0,20.58,11.04,76.04,0,5.35,449.2199999999999,99.565,-5.35,454.57,449.21999999999997
2021-08-08,207.63,205.5,106.555,0,30.155,11.04,76.04,0,5.35,544.49,106.555,-5.35,549.8399999999999,544.4899999999999
2021-08-09,252.76999999999998,235.26999999999998,123.095,0,38.754999999999995,11.04,76.04,0,5.35,644.54,123.095,-5.35,649.89,644.54
2021-08-10,220.25,216.055,125.465,0,32.89,11.04,76.04,0,5.35,589.31,125.465,-5.35,594.66,589.31
2021-08-11,189.95,194.99,122.11,0,26.945,11.04,76.04,0,5.35,528.645,122.11,-5.35,533.995,528.645
2021-08-12,220.89,213.8,123.83500000000001,0,32.54,11.04,76.04,0,5.35,585.7149999999999,123.83500000000001,-5.35,591.065,585.715
2021-08-13,219.53,213.37,119.765,0,32,11.04,76.04,0,5.35,579.3149999999999,119.765,-5.35,584.665,579.3149999999999
2021-08-14,185.66,193.885,110.525,0,25.46,11.04,76.04,0,5.35,510.18,110.525,-5.35,515.53,510.17999999999995
2021-08-15,164.015,180.435,112.445,0,21.155,11.04,76.04,0,5.35,472.70000000000005,112.445,-5.35,478.04999999999995,472.69999999999993
2021-08-16,143.46,167.5,117.73,0,17.08,11.04,76.04,0,5.35,440.42,117.73,-5.35,445.77,440.41999999999996
