date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,wnet_wma_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-05-07,76.42,97.65,124.42,0,14.64,11.52,70.87,61.82,4.31,308.82,124.42,-4.31,313.13,308.82
2021-05-08,66.5,97.14500000000001,123.71000000000001,0,14.925,11.52,70.27000000000001,58.855000000000004,4.31,297.97,123.71000000000001,-4.31,302.28000000000003,297.97
2021-05-09,59.835,93.64500000000001,116.16499999999999,0,16.03,11.52,69.815,53.67,4.31,281.365,116.16499999999999,-4.31,285.67499999999995,281.36499999999995
2021-05-10,73.845,95.86,116.625,0,16.72,11.52,71.5,51.355000000000004,4.31,298.74,116.625,-4.31,303.04999999999995,298.73999999999995
2021-05-11,77.08,99.82,124.9,0,16.884999999999998,11.52,74.23,51.239999999999995,4.31,314.375,124.9,-4.31,318.685,314.375
2021-05-12,77.35,101.83,132.92000000000002,0,17.195,11.52,74.57,51.03,4.31,324.985,132.92000000000002,-4.31,329.295,324.985
2021-05-13,79.82,105.095,138.71,0,17.205,11.52,75.395,52.975,4.31,336.52,138.71,-4.31,340.83,336.52
2021-05-14,82.175,103.64,136.895,0,16.805,11.52,76.525,55.370000000000005,4.31,335.20500000000004,136.895,-4.31,339.515,335.205
2021-05-15,83.375,103.285,129.48000000000002,0,16.46,11.52,75.03,54.18,4.31,328.29,129.48000000000002,-4.31,332.59999999999997,328.28999999999996
2021-05-16,79.1,108.22999999999999,124.315,0,17.275,11.52,74.99000000000001,52.825,4.31,324.61,124.315,-4.31,328.91999999999996,324.60999999999996
2021-05-17,82.06,111.815,125.28999999999999,0,17.935,11.52,77.67,50.505,4.31,332.78999999999996,125.28999999999999,-4.31,337.09999999999997,332.78999999999996
2021-05-18,85.21,111.37,135.895,0,17.97,11.52,80.235,50.675,4.31,346.135,135.895,-4.31,350.44500000000005,346.13500000000005
2021-05-19,91.89,112.755,145.565,0,18.08,11.52,85.58,58.26,4.31,363.98,145.565,-4.31,368.28999999999996,363.97999999999996
2021-05-20,96.39500000000001,115.875,141.565,0,18.02,11.52,92.34,64.16499999999999,4.31,367.54499999999996,141.565,-4.31,371.855,367.545
2021-05-21,97.89500000000001,117.39500000000001,138.52,0,14.754999999999999,18.244999999999997,98.28999999999999,66.255,4.31,364.255,138.52,-4.31,368.56500000000005,364.25500000000005
2021-05-22,95.625,117.45500000000001,135.27,0,14.115,18.244999999999997,102.25999999999999,66.49000000000001,4.31,358.155,135.27,-4.31,362.46500000000003,358.15500000000003
2021-05-23,93.50999999999999,123.57500000000002,134.875,0,16.884999999999998,11.52,104.33500000000001,67.035,4.31,364.535,134.875,-4.31,368.845,364.535
2021-05-24,93.88,116.85000000000001,132.625,0,16.604999999999997,11.52,95.075,63.945,4.31,355.65,132.625,-4.31,359.96000000000004,355.65000000000003
2021-05-25,85.42500000000001,52.045,131.25,0,16.575,11.52,76.155,59.4,4.31,280.985,131.25,-4.31,285.295,280.985
2021-05-26,87.33500000000001,57.34,136.14499999999998,0,16.595,11.52,74.965,58.705,4.31,293.105,136.14499999999998,-4.31,297.41499999999996,293.10499999999996
2021-05-27,91.095,109.42500000000001,134.69,0,15.985,11.52,78.545,56.620000000000005,4.31,346.885,134.69,-4.31,351.19500000000005,346.88500000000005
2021-05-28,90.11,109.735,131.73000000000002,0,15.475,11.52,72.995,58.28,4.31,342.74,131.73000000000002,-4.31,347.05000000000007,342.74000000000007
2021-05-29,78.84,107.71000000000001,130.185,0,15.325,11.52,70.4,59.635,4.31,327.75,130.185,-4.31,332.06,327.75
2021-05-30,60.38,97.315,120.77,0,16.365000000000002,11.52,70.315,54.065,4.31,290.52,120.77,-4.31,294.83000000000004,290.52000000000004
2021-05-31,68.58500000000001,47.255,110.52000000000001,0,17.295,11.52,70.695,52.2,4.31,239.34500000000003,110.52000000000001,-4.31,243.65500000000003,239.34500000000003
2021-06-01,84.935,57.69,117.58500000000001,0,18.665,11.52,71.66,54.25,4.31,274.565,117.58500000000001,-4.31,278.87500000000006,274.56500000000005
2021-06-02,92.94999999999999,114.57,130.77499999999998,0,19.95,11.52,72.265,54.25,4.31,353.935,130.77499999999998,-4.31,358.24499999999995,353.93499999999995
2021-06-03,92.94,116.58000000000001,133.58499999999998,0,21.115000000000002,11.52,72.5,54.25,4.31,359.90999999999997,133.58499999999998,-4.31,364.22,359.91
2021-06-04,90.64500000000001,122.12,140.75,0,22.43,11.52,72.62,54.25,4.31,371.635,140.75,-4.31,375.945,371.635
2021-06-05,100.14,126.97,142.29000000000002,0,22.78,11.52,73.44999999999999,54.25,4.31,387.87,142.29000000000002,-4.31,392.17999999999995,387.86999999999995
2021-06-06,112.32,132.95999999999998,135.27,0,23.945,11.52,74.805,54.25,4.31,400.185,135.27,-4.31,404.49499999999995,400.18499999999995
2021-06-07,142.84,136.61,137.12,0,25.08,11.52,75.23,54.25,4.31,437.34000000000003,137.12,-4.31,441.65000000000003,437.34000000000003
2021-06-08,176.11,137.235,128.59,0,26.02,11.52,75.23,54.25,4.31,463.645,128.59,-4.31,467.95500000000004,463.64500000000004
2021-06-09,170.02,132.025,116.21000000000001,0,24.825,11.52,75.23,54.25,4.31,438.77,116.21000000000001,-4.31,443.08,438.77
2021-06-10,151.25,119.06,110.43,0,21.765,11.52,75.23,54.25,4.31,398.195,110.43,-4.31,402.505,398.195
2021-06-11,143.225,113.075,100.715,0,20.189999999999998,11.52,75.23,54.25,4.31,372.89500000000004,100.715,-4.31,377.205,372.895
2021-06-12,147.975,118.125,94.455,0,20.695,11.52,75.23,54.25,4.31,376.94,94.455,-4.31,381.25,376.94
2021-06-13,162.5,126.405,101.565,0,23.155,11.52,75.23,54.25,4.31,409.315,101.565,-4.31,413.625,409.315
2021-06-14,156.57999999999998,122.34,109.72,0,22.75,11.52,75.23,54.25,4.31,407.08000000000004,109.72,-4.31,411.39,407.08
2021-06-15,142.74,113.71000000000001,108.185,0,20.85,11.52,75.23,54.25,4.31,381.17499999999995,108.185,-4.31,385.485,381.175
2021-06-16,144.535,116.2,108.08,0,20.955,11.52,75.23,54.25,4.31,385.46000000000004,108.08,-4.31,389.77,385.46
2021-06-17,154.45999999999998,124.66,109.13499999999999,0,22.23,11.52,75.23,54.25,4.31,406.175,109.13499999999999,-4.31,410.485,406.175
