date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-04-18,71.23,95.97,109.46,0,8.82,14.82,75.72,59.1,6.83,109.46,-6.83,285.47999999999996,278.65
2021-04-19,74.39500000000001,98.965,117.46,0,8.835,14.82,76.63,55.845,6.83,117.46,-6.83,299.65500000000003,292.82500000000005
2021-04-20,75.035,102.055,124.835,0,8.895,14.82,77.165,49.865,6.83,124.835,-6.83,310.82,303.99
2021-04-21,69.86500000000001,100.875,121.85499999999999,0,9.989999999999998,14.735,75.815,51.675,6.83,121.85499999999999,-6.83,302.58500000000004,295.75500000000005
2021-04-22,69.965,93.91999999999999,122.69,0,9.739999999999998,14.735,73.38,61.47,6.822062211981567,122.69,-6.822062211981567,296.315,289.4929377880184
2021-04-23,71.1,92.785,121.58500000000001,0,7.645,14.82,71.805,64.905,6.770161290322581,121.58500000000001,-6.770161290322581,293.115,286.34483870967745
2021-04-24,70.965,94.94999999999999,118.98,0,7.21,14.82,72.955,63.275,6.711543778801843,118.98,-6.711543778801843,292.10499999999996,285.3934562211981
2021-04-25,68.255,92.34,108.58500000000001,0,8.395,14.82,74.965,62.675,6.652926267281106,108.58500000000001,-6.652926267281106,277.575,270.9220737327189
2021-04-26,67.59,92.315,107.33500000000001,0,9.25,14.82,74.85,62.16,6.594308755760369,107.33500000000001,-6.594308755760369,276.49,269.89569124423963
2021-04-27,75.225,95.525,122.21000000000001,0,9.455,14.82,73.19,65.47999999999999,6.535691244239631,122.21000000000001,-6.535691244239631,302.415,295.8793087557604
2021-04-28,82.97,98.68,126.83500000000001,0,9.515,14.82,73.59,68.66499999999999,6.477073732718894,126.83500000000001,-6.477073732718894,318,311.5229262672811
2021-04-29,83.62,100.99000000000001,131.71,0,9.36,14.82,77.87,67.45,6.418456221198157,131.71,-6.418456221198157,325.68000000000006,319.2615437788019
2021-04-30,77.33,99.49000000000001,140.44,0,10.39,14.82,77.355,64.375,6.359838709677419,140.44,-6.359838709677419,327.65,321.29016129032254
2021-05-01,76.46000000000001,93.4,131.255,0,13.14,12.49,73.96000000000001,62.614999999999995,6.307937788018433,131.255,-6.307937788018433,314.255,307.9470622119816
2021-05-02,81.4,98.555,119.315,0,13.690000000000001,12.49,74.17,62.465,6.3,119.315,-6.3,312.96,306.65999999999997
2021-05-03,83.07,102.63,123.14500000000001,0,12.25,14.82,74.11000000000001,59.265,6.3,123.14500000000001,-6.3,321.095,314.795
2021-05-04,77.125,101.45,126.66499999999999,0,12.129999999999999,14.82,73.73,55.405,6.3,126.66499999999999,-6.3,317.37,311.07
2021-05-05,72.83000000000001,101.005,127.335,0,11.895,14.82,73.9,54.36,6.3,127.335,-6.3,313.065,306.765
2021-05-06,72.445,94.845,109.69,0,11.595,14.82,73.33500000000001,56.019999999999996,6.3,109.69,-6.3,288.57500000000005,282.27500000000003
2021-05-07,73.83,94.555,108.58500000000001,0,11.305,14.82,71.58000000000001,59.89,6.3,108.58500000000001,-6.3,288.27500000000003,281.975
2021-05-08,66.5,97.14500000000001,123.71000000000001,0,11.015,14.82,70.27000000000001,58.855000000000004,6.3,123.71000000000001,-6.3,298.37,292.07
2021-05-09,59.835,93.64500000000001,116.16499999999999,0,11.945,14.82,69.815,53.67,6.3,116.16499999999999,-6.3,281.59,275.28999999999996
2021-05-10,73.845,95.86,116.625,0,12.605,14.82,71.5,51.355000000000004,6.3,116.625,-6.3,298.935,292.635
2021-05-11,77.08,99.82,124.9,0,12.530000000000001,14.82,74.23,51.239999999999995,6.3,124.9,-6.3,314.33000000000004,308.03000000000003
2021-05-12,77.35,101.83,132.92000000000002,0,12.559999999999999,14.82,74.57,51.03,6.3,132.92000000000002,-6.3,324.66,318.36
2021-05-13,79.82,105.095,138.71,0,12.55,14.82,75.395,52.975,6.3,138.71,-6.3,336.175,329.875
2021-05-14,82.175,103.64,136.895,0,12.08,14.82,76.525,55.370000000000005,6.3,136.895,-6.3,334.78999999999996,328.48999999999995
2021-05-15,83.375,103.285,129.48000000000002,0,11.695,14.82,75.03,54.18,6.3,129.48000000000002,-6.3,327.835,321.53499999999997
2021-05-16,79.1,108.22999999999999,124.315,0,12.615,14.82,74.99000000000001,52.825,6.3,124.315,-6.3,324.26,317.96
2021-05-17,82.06,111.815,125.28999999999999,0,13.355,14.82,77.67,50.505,6.3,125.28999999999999,-6.3,332.52,326.21999999999997
2021-05-18,85.21,120.9,135.895,0,13.485,14.82,80.235,48.09,6.3,135.895,-6.3,355.49,349.19
2021-05-19,103.97,129.385,146.46,0,13.620000000000001,14.82,81.03,48.09,6.3,146.46,-6.3,393.435,387.135
2021-05-20,121.12,129.14499999999998,131.14,0,13.510000000000002,14.82,81.03,48.09,6.3,131.14,-6.3,394.91499999999996,388.61499999999995
2021-05-21,122.485,130.695,114.88499999999999,0,13.095,14.82,81.03,48.09,6.3,114.88499999999999,-6.3,381.16,374.86
2021-05-22,123.025,133.72,110.945,0,12.425,14.82,81.03,48.09,6.3,110.945,-6.3,380.115,373.815
2021-05-23,118.065,131.46,110.22999999999999,0,12.28,14.82,81.03,48.09,6.3,110.22999999999999,-6.3,372.03499999999997,365.73499999999996
2021-05-24,111.375,125.93,113.14,0,12.415,14.82,81.03,48.09,6.3,113.14,-6.3,362.86,356.56
2021-05-25,112.405,126.14,115.28,0,12.66,14.82,81.03,48.09,6.3,115.28,-6.3,366.485,360.185
2021-05-26,111.805,125.325,115.985,0,12.515,14.82,81.03,48.09,6.3,115.985,-6.3,365.63,359.33
2021-05-27,107.235,122.945,115.725,0,11.975,14.82,81.03,48.09,6.3,115.725,-6.3,357.88,351.58
2021-05-28,107.085,123.88499999999999,113.705,0,11.530000000000001,14.82,81.03,48.09,6.3,113.705,-6.3,356.2049999999999,349.9049999999999
2021-05-29,108.595,127.1,109.83,0,11.08,14.82,81.03,48.09,6.3,109.83,-6.3,356.60499999999996,350.30499999999995
2021-05-30,108.53,128.26999999999998,110.795,0,11.285,14.82,81.03,48.09,6.3,110.795,-6.3,358.88,352.58
2021-05-31,96.89,112.565,102.815,0,10.114999999999998,14.82,81.03,48.09,6.3,102.815,-6.3,322.385,316.085
2021-06-01,88.75,97.405,96.66,0,7.505,14.82,81.03,48.09,6.3,96.66,-6.3,290.32,284.02
2021-06-02,91.69,97.02,101.5,0,6.4,14.82,81.03,48.09,6.3,101.5,-6.3,296.60999999999996,290.30999999999995
