date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,wnet_wma_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-05-22,92.07,117.54,132.71,0,15.91,11.52,102.49,65.54,6,352.2300000000001,132.71,-6,358.23,352.23
2021-05-23,93.50999999999999,123.57500000000002,134.875,0,16.54,11.52,104.33500000000001,67.035,6,362.50000000000006,134.875,-6,368.50000000000006,362.50000000000006
2021-05-24,93.88,116.85000000000001,132.625,0,16.735,11.52,95.075,63.945,6,354.09000000000003,132.625,-6,360.09000000000003,354.09000000000003
2021-05-25,85.42500000000001,105.86,131.25,0,16.725,11.52,76.155,59.4,6,333.26,131.25,-6,339.26000000000005,333.26000000000005
2021-05-26,87.33500000000001,111.155,136.14499999999998,0,16.744999999999997,11.52,74.965,58.705,6,345.38,136.14499999999998,-6,351.38,345.38
2021-05-27,91.095,109.42500000000001,134.69,0,16.134999999999998,11.52,78.545,56.620000000000005,6,345.345,134.69,-6,351.345,345.345
2021-05-28,90.11,109.735,131.73000000000002,0,15.625,11.52,72.995,58.28,6,341.2,131.73000000000002,-6,347.20000000000005,341.20000000000005
2021-05-29,78.84,107.71000000000001,130.185,0,15.475000000000001,11.52,70.4,59.635,6,326.21,130.185,-6,332.21000000000004,326.21000000000004
2021-05-30,60.38,97.315,120.77,0,16.515,11.52,70.315,54.065,6,288.98,120.77,-6,294.98,288.98
2021-05-31,68.58500000000001,99.28999999999999,110.52000000000001,0,17.43,11.52,70.695,52.2,6,289.825,110.52000000000001,-6,295.825,289.825
2021-06-01,84.935,106.1,117.58500000000001,0,19.125,11.52,71.66,55.75,6,321.745,117.58500000000001,-6,327.745,321.745
2021-06-02,92.94999999999999,112.4,130.77499999999998,0,20.939999999999998,11.52,72.265,58.225,6,351.06499999999994,130.77499999999998,-6,357.065,351.065
2021-06-03,92.94,111.16499999999999,133.58499999999998,0,21.625,11.52,72.5,57.955,6,353.31499999999994,133.58499999999998,-6,359.31499999999994,353.31499999999994
2021-06-04,90.64500000000001,108.59,140.75,0,21.955,11.52,72.62,57.735,6,355.94,140.75,-6,361.94,355.94
2021-06-05,100.14,113.81,142.29000000000002,0,22.48,11.52,73.44999999999999,58.504999999999995,6,372.72,142.29000000000002,-6,378.72,372.72
2021-06-06,112.32,123.205,135.27,0,24.87,11.52,74.805,59.91,6,389.66499999999996,135.27,-6,395.665,389.665
2021-06-07,121.89500000000001,129.60500000000002,142.67000000000002,0,26.365000000000002,11.52,75.64,60.03,6,414.53499999999997,142.67000000000002,-6,420.5350000000001,414.5350000000001
2021-06-08,122.045,126.88,151.58499999999998,0,26.025,11.52,76.36500000000001,59.94,6,420.53499999999997,151.58499999999998,-6,426.53499999999997,420.53499999999997
