date_time,w_fw_pot,w_wssc_pot,w_wa_gf,w_wa_lf,w_lw_pot,lw_fw,w_fw_occ,w_wssc_pat,disch_lw_pot,w_wa,w_lw_br,w_pot_total,w_pot_total_net
2021-04-23,69.49,97.33,117.29,0,6.85,14.82,71.69,63.08,6.3,117.29,-6.3,290.96000000000004,284.66
2021-04-24,70.965,94.94999999999999,118.98,0,7.225,14.82,72.955,63.275,6.3,118.98,-6.3,292.12,285.82
2021-04-25,68.255,92.34,108.58500000000001,0,8.44,14.82,74.965,62.675,6.3,108.58500000000001,-6.3,277.62,271.32
2021-04-26,67.59,92.315,107.33500000000001,0,9.315,14.82,74.85,62.16,6.3,107.33500000000001,-6.3,276.555,270.255
2021-04-27,75.225,95.525,122.21000000000001,0,9.524999999999999,14.82,73.19,65.47999999999999,6.3,122.21000000000001,-6.3,302.485,296.185
2021-04-28,82.97,98.68,126.83500000000001,0,9.61,14.82,73.59,68.66499999999999,6.3,126.83500000000001,-6.3,318.095,311.795
2021-04-29,83.62,100.99000000000001,131.71,0,9.48,14.82,77.87,67.45,6.3,131.71,-6.3,325.80000000000007,319.50000000000006
2021-04-30,77.33,99.49000000000001,140.44,0,10.515,14.82,77.355,64.375,6.3,140.44,-6.3,327.775,321.47499999999997
2021-05-01,76.46000000000001,93.4,131.255,0,13.205,12.49,73.96000000000001,62.614999999999995,6.3,131.255,-6.3,314.32,308.02
2021-05-02,81.4,98.555,119.315,0,13.75,12.49,74.17,62.465,6.3,119.315,-6.3,313.02,306.71999999999997
2021-05-03,83.07,102.63,123.14500000000001,0,12.375,14.82,74.11000000000001,59.265,6.3,123.14500000000001,-6.3,321.22,314.92
2021-05-04,77.125,101.45,126.66499999999999,0,12.26,14.82,73.73,55.405,6.3,126.66499999999999,-6.3,317.5,311.2
2021-05-05,72.83000000000001,101.005,127.335,0,12.024999999999999,14.82,73.9,54.36,6.3,127.335,-6.3,313.195,306.895
2021-05-06,72.445,94.845,109.69,0,11.725,14.82,73.33500000000001,56.019999999999996,6.3,109.69,-6.3,288.70500000000004,282.40500000000003
2021-05-07,73.83,94.555,108.58500000000001,0,11.434999999999999,14.82,71.58000000000001,59.89,6.3,108.58500000000001,-6.3,288.40500000000003,282.105
