date,1646500,1645000,1644000,1643000,1638500,1636500,1619500,1616500,1614500,1613000,1611500,1610155,1610000,1609000,1608500,1604500,1603000,1601500,1598500,1595800,1597500,1595500,1596500,1643500,1591000,1591400,1591700,1656000
2014-02-01 0:00,6800,97.1,215,584,5720,2100,285,198,293,1760,310,18,1330,31.9,655,34.4,535,74.9,303,221,51.9,195,28.1,52.6,53.5,30.1,22,45.9
2014-02-02 0:00,6870,101,220,634,6050,2100,291,204,302,1970,279,24.3,1450,38.6,693,39,585,92.3,307,221,51.9,250,32.1,62.7,54.2,29.5,22.6,34.6
2014-02-03 0:00,10700,696,1400,1320,7850,2790,353,545,323,3060,381,33.4,1930,39.7,952,154,651,120,328,224,51.9,1000,61.6,280,199,127,150,895
2014-02-04 0:00,15500,371,1070,2020,11700,8820,383,942,394,4880,1470,50.1,4280,97.6,6220,489,762,100,565,486,86.5,979,82.6,180,104,51.6,74.6,488
2014-02-05 0:00,24100,612,1270,4030,23900,15000,539,1390,725,11900,2270,84.4,8900,293,6810,1300,1470,126,880,707,107,2570,132,549,235,141,136,507
2014-02-06 0:00,41700,391,1140,6090,34600,13800,632,1840,1080,20600,5650,175,16700,460,10900,1240,1980,187,1300,1130,146,1890,220,288,133,58.8,75,356
2014-02-07 0:00,52000,257,747,3010,43600,11600,518,907,809,16700,2820,118,11700,318,6440,777,2410,155,1720,1480,169,1210,141,191,98.2,44.1,48.3,220
2014-02-08 0:00,41800,205,618,2080,30800,9150,480,664,627,11600,1870,85.9,8570,245,4330,647,2260,136,1710,1470,169,900,85.6,155,87.2,39.3,40.6,167
2014-02-09 0:00,30500,176,524,1600,23600,7540,454,537,543,9040,1490,67.2,6920,195,3380,571,2190,124,1700,1470,169,604,53.1,134,79.5,37.5,37.2,139
2014-02-10 0:00,24500,154,461,1360,19400,6400,439,465,482,7590,1200,52.9,5910,155,2780,510,2070,118,1390,1140,169,475,36.7,119,73.9,36,35,121
