date,lfalls,date_fc,length_fc
2021-05-24,2831,2021-06-23,-30
2021-05-25,2831,2021-06-23,-29
2021-05-26,2831,2021-06-23,-28
2021-05-27,3038,2021-06-23,-27
2021-05-28,2831,2021-06-23,-26
2021-05-29,3478,2021-06-23,-25
2021-05-30,3420,2021-06-23,-24
2021-05-31,3372,2021-06-23,-23
2021-06-01,3281,2021-06-23,-22
2021-06-02,3251,2021-06-23,-21
2021-06-03,3449,2021-06-23,-20
2021-06-04,3753,2021-06-23,-19
2021-06-05,3717,2021-06-23,-18
2021-06-06,3523,2021-06-23,-17
2021-06-07,3370,2021-06-23,-16
2021-06-08,3020,2021-06-23,-15
2021-06-09,2786,2021-06-23,-14
2021-06-10,2634,2021-06-23,-13
2021-06-11,3818,2021-06-23,-12
2021-06-12,4099,2021-06-23,-11
2021-06-13,4286,2021-06-23,-10
2021-06-14,4420,2021-06-23,-9
2021-06-15,4992,2021-06-23,-8
2021-06-16,4512,2021-06-23,-7
2021-06-17,4347,2021-06-23,-6
2021-06-18,4316,2021-06-23,-5
2021-06-19,4356,2021-06-23,-4
2021-06-20,4325,2021-06-23,-3
2021-06-21,4211,2021-06-23,-2
2021-06-22,4568,2021-06-23,-1
2021-06-23,4393,2021-06-23,0
2021-06-24,4125,2021-06-23,1
2021-06-25,3827,2021-06-23,2
2021-06-26,3580,2021-06-23,3
2021-06-27,3376,2021-06-23,4
2021-06-28,3192,2021-06-23,5
2021-06-29,3005,2021-06-23,6
2021-06-30,2810,2021-06-23,7
2021-07-01,2603,2021-06-23,8
2021-07-02,2432,2021-06-23,9
2021-07-03,2284,2021-06-23,10
2021-07-04,2206,2021-06-23,11
2021-07-05,2313,2021-06-23,12
2021-07-06,2148,2021-06-23,13
2021-07-07,2074,2021-06-23,14
2021-07-08,NA,2021-06-23,15
2021-07-09,NA,2021-06-23,16
2021-07-10,NA,2021-06-23,17
2021-07-11,NA,2021-06-23,18
2021-07-12,NA,2021-06-23,19
2021-07-13,NA,2021-06-23,20
2021-07-14,NA,2021-06-23,21
2021-07-15,NA,2021-06-23,22
2021-07-16,NA,2021-06-23,23
2021-07-17,NA,2021-06-23,24
2021-07-18,NA,2021-06-23,25
2021-07-19,NA,2021-06-23,26
2021-07-20,NA,2021-06-23,27
2021-07-21,NA,2021-06-23,28
2021-07-22,NA,2021-06-23,29
2021-07-23,NA,2021-06-23,30
2021-07-24,NA,2021-06-23,31
2021-07-25,NA,2021-06-23,32
2021-07-26,NA,2021-06-23,33
2021-07-27,NA,2021-06-23,34
2021-07-28,NA,2021-06-23,35
2021-07-29,NA,2021-06-23,36
2021-07-30,NA,2021-06-23,37
2021-07-31,NA,2021-06-23,38
2021-08-01,NA,2021-06-23,39
2021-08-02,NA,2021-06-23,40
2021-08-03,NA,2021-06-23,41
2021-08-04,NA,2021-06-23,42
2021-08-05,NA,2021-06-23,43
2021-08-06,NA,2021-06-23,44
2021-08-07,NA,2021-06-23,45
2021-08-08,NA,2021-06-23,46
2021-08-09,NA,2021-06-23,47
2021-08-10,NA,2021-06-23,48
2021-08-11,NA,2021-06-23,49
2021-08-12,NA,2021-06-23,50
2021-08-13,NA,2021-06-23,51
2021-08-14,NA,2021-06-23,52
