date,lfalls,date_fc,length_fc
2021-05-01,5916,2021-05-31,-30
2021-05-02,5405,2021-05-31,-29
2021-05-03,5152,2021-05-31,-28
2021-05-04,5155,2021-05-31,-27
2021-05-05,5649,2021-05-31,-26
2021-05-06,5657,2021-05-31,-25
2021-05-07,5924,2021-05-31,-24
2021-05-08,6540,2021-05-31,-23
2021-05-09,6838,2021-05-31,-22
2021-05-10,7016,2021-05-31,-21
2021-05-11,7027,2021-05-31,-20
2021-05-12,6535,2021-05-31,-19
2021-05-13,6087,2021-05-31,-18
2021-05-14,5758,2021-05-31,-17
2021-05-15,5209,2021-05-31,-16
2021-05-16,4564,2021-05-31,-15
2021-05-17,4260,2021-05-31,-14
2021-05-18,3995,2021-05-31,-13
2021-05-19,3891,2021-05-31,-12
2021-05-20,3749,2021-05-31,-11
2021-05-21,3400,2021-05-31,-10
2021-05-22,3180,2021-05-31,-9
2021-05-23,2954,2021-05-31,-8
2021-05-24,2831,2021-05-31,-7
2021-05-25,2831,2021-05-31,-6
2021-05-26,2831,2021-05-31,-5
2021-05-27,2932,2021-05-31,-4
2021-05-28,2831,2021-05-31,-3
2021-05-29,3822,2021-05-31,-2
2021-05-30,3672,2021-05-31,-1
2021-05-31,3542,2021-05-31,0
2021-06-01,3435,2021-05-31,1
2021-06-02,3392,2021-05-31,2
2021-06-03,3545,2021-05-31,3
2021-06-04,4011,2021-05-31,4
2021-06-05,3951,2021-05-31,5
2021-06-06,3803,2021-05-31,6
2021-06-07,3706,2021-05-31,7
2021-06-08,3569,2021-05-31,8
2021-06-09,3729,2021-05-31,9
2021-06-10,3562,2021-05-31,10
2021-06-11,3388,2021-05-31,11
2021-06-12,3195,2021-05-31,12
2021-06-13,3014,2021-05-31,13
2021-06-14,4964,2021-05-31,14
2021-06-15,66254,2021-05-31,15
2021-06-16,NA,2021-05-31,16
2021-06-17,NA,2021-05-31,17
2021-06-18,NA,2021-05-31,18
2021-06-19,NA,2021-05-31,19
2021-06-20,NA,2021-05-31,20
2021-06-21,NA,2021-05-31,21
2021-06-22,NA,2021-05-31,22
2021-06-23,NA,2021-05-31,23
2021-06-24,NA,2021-05-31,24
2021-06-25,NA,2021-05-31,25
2021-06-26,NA,2021-05-31,26
2021-06-27,NA,2021-05-31,27
2021-06-28,NA,2021-05-31,28
2021-06-29,NA,2021-05-31,29
2021-06-30,NA,2021-05-31,30
2021-07-01,NA,2021-05-31,31
2021-07-02,NA,2021-05-31,32
2021-07-03,NA,2021-05-31,33
2021-07-04,NA,2021-05-31,34
2021-07-05,NA,2021-05-31,35
2021-07-06,NA,2021-05-31,36
2021-07-07,NA,2021-05-31,37
2021-07-08,NA,2021-05-31,38
2021-07-09,NA,2021-05-31,39
2021-07-10,NA,2021-05-31,40
2021-07-11,NA,2021-05-31,41
2021-07-12,NA,2021-05-31,42
2021-07-13,NA,2021-05-31,43
2021-07-14,NA,2021-05-31,44
2021-07-15,NA,2021-05-31,45
2021-07-16,NA,2021-05-31,46
2021-07-17,NA,2021-05-31,47
2021-07-18,NA,2021-05-31,48
2021-07-19,NA,2021-05-31,49
2021-07-20,NA,2021-05-31,50
2021-07-21,NA,2021-05-31,51
2021-07-22,NA,2021-05-31,52
2021-07-23,NA,2021-05-31,53
2021-07-24,NA,2021-05-31,54
2021-07-25,NA,2021-05-31,55
2021-07-26,NA,2021-05-31,56
2021-07-27,NA,2021-05-31,57
2021-07-28,NA,2021-05-31,58
2021-07-29,NA,2021-05-31,59
2021-07-30,NA,2021-05-31,60
2021-07-31,NA,2021-05-31,61
2021-08-01,NA,2021-05-31,62
2021-08-02,NA,2021-05-31,63
2021-08-03,NA,2021-05-31,64
2021-08-04,NA,2021-05-31,65
2021-08-05,NA,2021-05-31,66
2021-08-06,NA,2021-05-31,67
2021-08-07,NA,2021-05-31,68
2021-08-08,NA,2021-05-31,69
2021-08-09,NA,2021-05-31,70
2021-08-10,NA,2021-05-31,71
2021-08-11,NA,2021-05-31,72
2021-08-12,NA,2021-05-31,73
2021-08-13,NA,2021-05-31,74
2021-08-14,NA,2021-05-31,75
2021-08-15,NA,2021-05-31,76
2021-08-16,NA,2021-05-31,77
2021-08-17,NA,2021-05-31,78
2021-08-18,NA,2021-05-31,79
2021-08-19,NA,2021-05-31,80
2021-08-20,NA,2021-05-31,81
2021-08-21,NA,2021-05-31,82
2021-08-22,NA,2021-05-31,83
2021-08-23,NA,2021-05-31,84
2021-08-24,NA,2021-05-31,85
2021-08-25,NA,2021-05-31,86
2021-08-26,NA,2021-05-31,87
2021-08-27,NA,2021-05-31,88
2021-08-28,NA,2021-05-31,89
2021-08-29,NA,2021-05-31,90
2021-08-30,NA,2021-05-31,91
2021-08-31,NA,2021-05-31,92
2021-09-01,NA,2021-05-31,93
2021-09-02,NA,2021-05-31,94
2021-09-03,NA,2021-05-31,95
2021-09-04,NA,2021-05-31,96
2021-09-05,NA,2021-05-31,97
2021-09-06,NA,2021-05-31,98
2021-09-07,NA,2021-05-31,99
2021-09-08,NA,2021-05-31,100
2021-09-09,NA,2021-05-31,101
2021-09-10,NA,2021-05-31,102
2021-09-11,NA,2021-05-31,103
2021-09-12,NA,2021-05-31,104
2021-09-13,NA,2021-05-31,105
2021-09-14,NA,2021-05-31,106
2021-09-15,NA,2021-05-31,107
2021-09-16,NA,2021-05-31,108
2021-09-17,NA,2021-05-31,109
2021-09-18,NA,2021-05-31,110
2021-09-19,NA,2021-05-31,111
2021-09-20,NA,2021-05-31,112
2021-09-21,NA,2021-05-31,113
2021-09-22,NA,2021-05-31,114
2021-09-23,NA,2021-05-31,115
2021-09-24,NA,2021-05-31,116
2021-09-25,NA,2021-05-31,117
2021-09-26,NA,2021-05-31,118
2021-09-27,NA,2021-05-31,119
2021-09-28,NA,2021-05-31,120
2021-09-29,NA,2021-05-31,121
2021-09-30,NA,2021-05-31,122
2021-10-01,NA,2021-05-31,123
2021-10-02,NA,2021-05-31,124
2021-10-03,NA,2021-05-31,125
2021-10-04,NA,2021-05-31,126
2021-10-05,NA,2021-05-31,127
2021-10-06,NA,2021-05-31,128
2021-10-07,NA,2021-05-31,129
2021-10-08,NA,2021-05-31,130
2021-10-09,NA,2021-05-31,131
2021-10-10,NA,2021-05-31,132
2021-10-11,NA,2021-05-31,133
2021-10-12,NA,2021-05-31,134
2021-10-13,NA,2021-05-31,135
2021-10-14,NA,2021-05-31,136
2021-10-15,NA,2021-05-31,137
2021-10-16,NA,2021-05-31,138
2021-10-17,NA,2021-05-31,139
2021-10-18,NA,2021-05-31,140
2021-10-19,NA,2021-05-31,141
2021-10-20,NA,2021-05-31,142
2021-10-21,NA,2021-05-31,143
2021-10-22,NA,2021-05-31,144
2021-10-23,NA,2021-05-31,145
2021-10-24,NA,2021-05-31,146
2021-10-25,NA,2021-05-31,147
2021-10-26,NA,2021-05-31,148
2021-10-27,NA,2021-05-31,149
2021-10-28,NA,2021-05-31,150
2021-10-29,NA,2021-05-31,151
2021-10-30,NA,2021-05-31,152
2021-10-31,NA,2021-05-31,153
2021-11-01,NA,2021-05-31,154
2021-11-02,NA,2021-05-31,155
2021-11-03,NA,2021-05-31,156
2021-11-04,NA,2021-05-31,157
2021-11-05,NA,2021-05-31,158
2021-11-06,NA,2021-05-31,159
2021-11-07,NA,2021-05-31,160
2021-11-08,NA,2021-05-31,161
2021-11-09,NA,2021-05-31,162
2021-11-10,NA,2021-05-31,163
2021-11-11,NA,2021-05-31,164
2021-11-12,NA,2021-05-31,165
2021-11-13,NA,2021-05-31,166
2021-11-14,NA,2021-05-31,167
2021-11-15,NA,2021-05-31,168
2021-11-16,NA,2021-05-31,169
2021-11-17,NA,2021-05-31,170
2021-11-18,NA,2021-05-31,171
2021-11-19,NA,2021-05-31,172
2021-11-20,NA,2021-05-31,173
2021-11-21,NA,2021-05-31,174
2021-11-22,NA,2021-05-31,175
2021-11-23,NA,2021-05-31,176
2021-11-24,NA,2021-05-31,177
2021-11-25,NA,2021-05-31,178
2021-11-26,NA,2021-05-31,179
2021-11-27,NA,2021-05-31,180
2021-11-28,NA,2021-05-31,181
2021-11-29,NA,2021-05-31,182
2021-11-30,NA,2021-05-31,183
2021-12-01,NA,2021-05-31,184
2021-12-02,NA,2021-05-31,185
2021-12-03,NA,2021-05-31,186
2021-12-04,NA,2021-05-31,187
2021-12-05,NA,2021-05-31,188
2021-12-06,NA,2021-05-31,189
2021-12-07,NA,2021-05-31,190
2021-12-08,NA,2021-05-31,191
2021-12-09,NA,2021-05-31,192
2021-12-10,NA,2021-05-31,193
2021-12-11,NA,2021-05-31,194
2021-12-12,NA,2021-05-31,195
2021-12-13,NA,2021-05-31,196
2021-12-14,NA,2021-05-31,197
2021-12-15,NA,2021-05-31,198
2021-12-16,NA,2021-05-31,199
2021-12-17,NA,2021-05-31,200
2021-12-18,NA,2021-05-31,201
2021-12-19,NA,2021-05-31,202
2021-12-20,NA,2021-05-31,203
2021-12-21,NA,2021-05-31,204
2021-12-22,NA,2021-05-31,205
2021-12-23,NA,2021-05-31,206
2021-12-24,NA,2021-05-31,207
2021-12-25,NA,2021-05-31,208
2021-12-26,NA,2021-05-31,209
2021-12-27,NA,2021-05-31,210
2021-12-28,NA,2021-05-31,211
2021-12-29,NA,2021-05-31,212
2021-12-30,NA,2021-05-31,213
2021-12-31,NA,2021-05-31,214
