date,lfalls,date_fc,length_fc
2021-05-23,2954,2021-06-22,-30
2021-05-24,2831,2021-06-22,-29
2021-05-25,2831,2021-06-22,-28
2021-05-26,2831,2021-06-22,-27
2021-05-27,3037,2021-06-22,-26
2021-05-28,2831,2021-06-22,-25
2021-05-29,3478,2021-06-22,-24
2021-05-30,3419,2021-06-22,-23
2021-05-31,3372,2021-06-22,-22
2021-06-01,3280,2021-06-22,-21
2021-06-02,3249,2021-06-22,-20
2021-06-03,3443,2021-06-22,-19
2021-06-04,3748,2021-06-22,-18
2021-06-05,3713,2021-06-22,-17
2021-06-06,3520,2021-06-22,-16
2021-06-07,3368,2021-06-22,-15
2021-06-08,3018,2021-06-22,-14
2021-06-09,2785,2021-06-22,-13
2021-06-10,2633,2021-06-22,-12
2021-06-11,3817,2021-06-22,-11
2021-06-12,4098,2021-06-22,-10
2021-06-13,4283,2021-06-22,-9
2021-06-14,4417,2021-06-22,-8
2021-06-15,4988,2021-06-22,-7
2021-06-16,4508,2021-06-22,-6
2021-06-17,4342,2021-06-22,-5
2021-06-18,4311,2021-06-22,-4
2021-06-19,4352,2021-06-22,-3
2021-06-20,4319,2021-06-22,-2
2021-06-21,4273,2021-06-22,-1
2021-06-22,4898,2021-06-22,0
2021-06-23,5216,2021-06-22,1
2021-06-24,4805,2021-06-22,2
2021-06-25,4418,2021-06-22,3
2021-06-26,4105,2021-06-22,4
2021-06-27,3854,2021-06-22,5
2021-06-28,3851,2021-06-22,6
2021-06-29,3761,2021-06-22,7
2021-06-30,3676,2021-06-22,8
2021-07-01,3566,2021-06-22,9
2021-07-02,3410,2021-06-22,10
2021-07-03,3227,2021-06-22,11
2021-07-04,3083,2021-06-22,12
2021-07-05,2975,2021-06-22,13
2021-07-06,3188,2021-06-22,14
2021-07-07,9545,2021-06-22,15
2021-07-08,NA,2021-06-22,16
2021-07-09,NA,2021-06-22,17
2021-07-10,NA,2021-06-22,18
2021-07-11,NA,2021-06-22,19
2021-07-12,NA,2021-06-22,20
2021-07-13,NA,2021-06-22,21
2021-07-14,NA,2021-06-22,22
2021-07-15,NA,2021-06-22,23
2021-07-16,NA,2021-06-22,24
2021-07-17,NA,2021-06-22,25
2021-07-18,NA,2021-06-22,26
2021-07-19,NA,2021-06-22,27
2021-07-20,NA,2021-06-22,28
2021-07-21,NA,2021-06-22,29
2021-07-22,NA,2021-06-22,30
2021-07-23,NA,2021-06-22,31
2021-07-24,NA,2021-06-22,32
2021-07-25,NA,2021-06-22,33
2021-07-26,NA,2021-06-22,34
2021-07-27,NA,2021-06-22,35
2021-07-28,NA,2021-06-22,36
2021-07-29,NA,2021-06-22,37
2021-07-30,NA,2021-06-22,38
2021-07-31,NA,2021-06-22,39
2021-08-01,NA,2021-06-22,40
2021-08-02,NA,2021-06-22,41
2021-08-03,NA,2021-06-22,42
2021-08-04,NA,2021-06-22,43
2021-08-05,NA,2021-06-22,44
2021-08-06,NA,2021-06-22,45
2021-08-07,NA,2021-06-22,46
2021-08-08,NA,2021-06-22,47
2021-08-09,NA,2021-06-22,48
2021-08-10,NA,2021-06-22,49
2021-08-11,NA,2021-06-22,50
2021-08-12,NA,2021-06-22,51
2021-08-13,NA,2021-06-22,52
2021-08-14,NA,2021-06-22,53
2021-08-15,NA,2021-06-22,54
2021-08-16,NA,2021-06-22,55
2021-08-17,NA,2021-06-22,56
2021-08-18,NA,2021-06-22,57
2021-08-19,NA,2021-06-22,58
2021-08-20,NA,2021-06-22,59
2021-08-21,NA,2021-06-22,60
2021-08-22,NA,2021-06-22,61
2021-08-23,NA,2021-06-22,62
2021-08-24,NA,2021-06-22,63
2021-08-25,NA,2021-06-22,64
2021-08-26,NA,2021-06-22,65
2021-08-27,NA,2021-06-22,66
2021-08-28,NA,2021-06-22,67
2021-08-29,NA,2021-06-22,68
2021-08-30,NA,2021-06-22,69
2021-08-31,NA,2021-06-22,70
2021-09-01,NA,2021-06-22,71
2021-09-02,NA,2021-06-22,72
2021-09-03,NA,2021-06-22,73
2021-09-04,NA,2021-06-22,74
2021-09-05,NA,2021-06-22,75
2021-09-06,NA,2021-06-22,76
2021-09-07,NA,2021-06-22,77
2021-09-08,NA,2021-06-22,78
2021-09-09,NA,2021-06-22,79
2021-09-10,NA,2021-06-22,80
2021-09-11,NA,2021-06-22,81
2021-09-12,NA,2021-06-22,82
2021-09-13,NA,2021-06-22,83
2021-09-14,NA,2021-06-22,84
2021-09-15,NA,2021-06-22,85
2021-09-16,NA,2021-06-22,86
2021-09-17,NA,2021-06-22,87
2021-09-18,NA,2021-06-22,88
2021-09-19,NA,2021-06-22,89
2021-09-20,NA,2021-06-22,90
2021-09-21,NA,2021-06-22,91
2021-09-22,NA,2021-06-22,92
2021-09-23,NA,2021-06-22,93
2021-09-24,NA,2021-06-22,94
2021-09-25,NA,2021-06-22,95
2021-09-26,NA,2021-06-22,96
2021-09-27,NA,2021-06-22,97
2021-09-28,NA,2021-06-22,98
2021-09-29,NA,2021-06-22,99
2021-09-30,NA,2021-06-22,100
2021-10-01,NA,2021-06-22,101
2021-10-02,NA,2021-06-22,102
2021-10-03,NA,2021-06-22,103
2021-10-04,NA,2021-06-22,104
2021-10-05,NA,2021-06-22,105
2021-10-06,NA,2021-06-22,106
2021-10-07,NA,2021-06-22,107
2021-10-08,NA,2021-06-22,108
2021-10-09,NA,2021-06-22,109
2021-10-10,NA,2021-06-22,110
2021-10-11,NA,2021-06-22,111
2021-10-12,NA,2021-06-22,112
2021-10-13,NA,2021-06-22,113
2021-10-14,NA,2021-06-22,114
2021-10-15,NA,2021-06-22,115
2021-10-16,NA,2021-06-22,116
2021-10-17,NA,2021-06-22,117
2021-10-18,NA,2021-06-22,118
2021-10-19,NA,2021-06-22,119
2021-10-20,NA,2021-06-22,120
2021-10-21,NA,2021-06-22,121
2021-10-22,NA,2021-06-22,122
2021-10-23,NA,2021-06-22,123
2021-10-24,NA,2021-06-22,124
2021-10-25,NA,2021-06-22,125
2021-10-26,NA,2021-06-22,126
2021-10-27,NA,2021-06-22,127
2021-10-28,NA,2021-06-22,128
2021-10-29,NA,2021-06-22,129
2021-10-30,NA,2021-06-22,130
2021-10-31,NA,2021-06-22,131
2021-11-01,NA,2021-06-22,132
2021-11-02,NA,2021-06-22,133
2021-11-03,NA,2021-06-22,134
2021-11-04,NA,2021-06-22,135
2021-11-05,NA,2021-06-22,136
2021-11-06,NA,2021-06-22,137
2021-11-07,NA,2021-06-22,138
2021-11-08,NA,2021-06-22,139
2021-11-09,NA,2021-06-22,140
2021-11-10,NA,2021-06-22,141
2021-11-11,NA,2021-06-22,142
2021-11-12,NA,2021-06-22,143
2021-11-13,NA,2021-06-22,144
2021-11-14,NA,2021-06-22,145
2021-11-15,NA,2021-06-22,146
2021-11-16,NA,2021-06-22,147
2021-11-17,NA,2021-06-22,148
2021-11-18,NA,2021-06-22,149
2021-11-19,NA,2021-06-22,150
2021-11-20,NA,2021-06-22,151
2021-11-21,NA,2021-06-22,152
2021-11-22,NA,2021-06-22,153
2021-11-23,NA,2021-06-22,154
2021-11-24,NA,2021-06-22,155
2021-11-25,NA,2021-06-22,156
2021-11-26,NA,2021-06-22,157
2021-11-27,NA,2021-06-22,158
2021-11-28,NA,2021-06-22,159
2021-11-29,NA,2021-06-22,160
2021-11-30,NA,2021-06-22,161
2021-12-01,NA,2021-06-22,162
2021-12-02,NA,2021-06-22,163
2021-12-03,NA,2021-06-22,164
2021-12-04,NA,2021-06-22,165
2021-12-05,NA,2021-06-22,166
2021-12-06,NA,2021-06-22,167
2021-12-07,NA,2021-06-22,168
2021-12-08,NA,2021-06-22,169
2021-12-09,NA,2021-06-22,170
2021-12-10,NA,2021-06-22,171
2021-12-11,NA,2021-06-22,172
2021-12-12,NA,2021-06-22,173
2021-12-13,NA,2021-06-22,174
2021-12-14,NA,2021-06-22,175
2021-12-15,NA,2021-06-22,176
2021-12-16,NA,2021-06-22,177
2021-12-17,NA,2021-06-22,178
2021-12-18,NA,2021-06-22,179
2021-12-19,NA,2021-06-22,180
2021-12-20,NA,2021-06-22,181
2021-12-21,NA,2021-06-22,182
2021-12-22,NA,2021-06-22,183
2021-12-23,NA,2021-06-22,184
2021-12-24,NA,2021-06-22,185
2021-12-25,NA,2021-06-22,186
2021-12-26,NA,2021-06-22,187
2021-12-27,NA,2021-06-22,188
2021-12-28,NA,2021-06-22,189
2021-12-29,NA,2021-06-22,190
2021-12-30,NA,2021-06-22,191
2021-12-31,NA,2021-06-22,192
