date,lfalls,date_fc,length_fc
2021-06-29,3112,2021-07-29,-30
2021-06-30,2807,2021-07-29,-29
2021-07-01,2902,2021-07-29,-28
2021-07-02,3232,2021-07-29,-27
2021-07-03,2920,2021-07-29,-26
2021-07-04,2747,2021-07-29,-25
2021-07-05,2593,2021-07-29,-24
2021-07-06,2515,2021-07-29,-23
2021-07-07,2431,2021-07-29,-22
2021-07-08,2431,2021-07-29,-21
2021-07-09,2549,2021-07-29,-20
2021-07-10,2431,2021-07-29,-19
2021-07-11,2353,2021-07-29,-18
2021-07-12,2250,2021-07-29,-17
2021-07-13,2211,2021-07-29,-16
2021-07-14,2253,2021-07-29,-15
2021-07-15,2211,2021-07-29,-14
2021-07-16,2211,2021-07-29,-13
2021-07-17,2211,2021-07-29,-12
2021-07-18,2219,2021-07-29,-11
2021-07-19,2260,2021-07-29,-10
2021-07-20,2226,2021-07-29,-9
2021-07-21,2211,2021-07-29,-8
2021-07-22,2153,2021-07-29,-7
2021-07-23,1972,2021-07-29,-6
2021-07-24,1933,2021-07-29,-5
2021-07-25,1778,2021-07-29,-4
2021-07-26,1629,2021-07-29,-3
2021-07-27,1571,2021-07-29,-2
2021-07-28,1571,2021-07-29,-1
2021-07-29,1493,2021-07-29,0
2021-07-30,1415,2021-07-29,1
2021-07-31,1341,2021-07-29,2
2021-08-01,1280,2021-07-29,3
2021-08-02,1229,2021-07-29,4
2021-08-03,1182,2021-07-29,5
2021-08-04,1138,2021-07-29,6
2021-08-05,1099,2021-07-29,7
2021-08-06,1109,2021-07-29,8
2021-08-07,1110,2021-07-29,9
2021-08-08,1066,2021-07-29,10
2021-08-09,1027,2021-07-29,11
2021-08-10,1250,2021-07-29,12
2021-08-11,1514,2021-07-29,13
2021-08-12,1444,2021-07-29,14
2021-08-13,1413,2021-07-29,15
2021-08-14,NA,2021-07-29,16
2021-08-15,NA,2021-07-29,17
2021-08-16,NA,2021-07-29,18
2021-08-17,NA,2021-07-29,19
2021-08-18,NA,2021-07-29,20
2021-08-19,NA,2021-07-29,21
2021-08-20,NA,2021-07-29,22
2021-08-21,NA,2021-07-29,23
2021-08-22,NA,2021-07-29,24
2021-08-23,NA,2021-07-29,25
2021-08-24,NA,2021-07-29,26
2021-08-25,NA,2021-07-29,27
2021-08-26,NA,2021-07-29,28
2021-08-27,NA,2021-07-29,29
2021-08-28,NA,2021-07-29,30
2021-08-29,NA,2021-07-29,31
2021-08-30,NA,2021-07-29,32
2021-08-31,NA,2021-07-29,33
2021-09-01,NA,2021-07-29,34
2021-09-02,NA,2021-07-29,35
2021-09-03,NA,2021-07-29,36
2021-09-04,NA,2021-07-29,37
2021-09-05,NA,2021-07-29,38
2021-09-06,NA,2021-07-29,39
2021-09-07,NA,2021-07-29,40
2021-09-08,NA,2021-07-29,41
2021-09-09,NA,2021-07-29,42
2021-09-10,NA,2021-07-29,43
2021-09-11,NA,2021-07-29,44
2021-09-12,NA,2021-07-29,45
2021-09-13,NA,2021-07-29,46
2021-09-14,NA,2021-07-29,47
2021-09-15,NA,2021-07-29,48
2021-09-16,NA,2021-07-29,49
2021-09-17,NA,2021-07-29,50
2021-09-18,NA,2021-07-29,51
2021-09-19,NA,2021-07-29,52
2021-09-20,NA,2021-07-29,53
2021-09-21,NA,2021-07-29,54
2021-09-22,NA,2021-07-29,55
2021-09-23,NA,2021-07-29,56
2021-09-24,NA,2021-07-29,57
2021-09-25,NA,2021-07-29,58
2021-09-26,NA,2021-07-29,59
2021-09-27,NA,2021-07-29,60
2021-09-28,NA,2021-07-29,61
2021-09-29,NA,2021-07-29,62
2021-09-30,NA,2021-07-29,63
2021-10-01,NA,2021-07-29,64
2021-10-02,NA,2021-07-29,65
2021-10-03,NA,2021-07-29,66
2021-10-04,NA,2021-07-29,67
2021-10-05,NA,2021-07-29,68
2021-10-06,NA,2021-07-29,69
2021-10-07,NA,2021-07-29,70
2021-10-08,NA,2021-07-29,71
2021-10-09,NA,2021-07-29,72
2021-10-10,NA,2021-07-29,73
2021-10-11,NA,2021-07-29,74
2021-10-12,NA,2021-07-29,75
2021-10-13,NA,2021-07-29,76
2021-10-14,NA,2021-07-29,77
2021-10-15,NA,2021-07-29,78
2021-10-16,NA,2021-07-29,79
2021-10-17,NA,2021-07-29,80
2021-10-18,NA,2021-07-29,81
2021-10-19,NA,2021-07-29,82
2021-10-20,NA,2021-07-29,83
2021-10-21,NA,2021-07-29,84
2021-10-22,NA,2021-07-29,85
2021-10-23,NA,2021-07-29,86
