date,unity,cattail,hawlings,kitzmiller,barnum,barton,bloomington,luke,wills,nbp_cumb,patterson,sbr,town,pawpaw,sideling,cacapon,hancock,conoco,opequon,antietam,shen_mill,por,monoc_jug,bennett,goose,seneca,lfalls,cedar
2021-08-03,10.2,9.6,8.03,53.1,243,2.33,43.7,301,23.6,351,9.2,137,9.12,581,1.33,68,641,102,98,122,549,1680,176,15.4,18.4,59.7,1900,4.63
2021-08-04,9.51,9.24,6.92,59.9,228,3.19,40.9,283,22.9,341,8.99,123,8.29,554,1.11,65.6,638,98.1,97,119,526,1630,162,14.3,14.9,53.1,1700,4.25
2021-08-05,8.76,8.63,6.26,57,220,3.18,57.3,291,23.1,324,9.21,117,7.89,530,1,65.6,619,95.2,92.7,116,508,1630,154,13.1,12.6,45.9,1570,3.97
2021-08-06,8.07,8.14,5.69,46.3,230,2.71,57.3,298,25.3,329,10.4,117,7.98,522,0.89,65.4,593,91,94.9,115,517,1610,145,12.5,10.9,44.8,1470,3.97
2021-08-07,7.78,7.93,5.4,41.6,236,2.65,57.2,303,24.5,338,9.39,110,9.8,525,1.94,64.5,576,88.3,89.8,113,504,1590,137,11.9,9.27,45.4,1450,3.97
2021-08-08,8.08,7.99,5.32,40.3,239,2.5,56.4,303,24.6,347,9.28,112,9.4,528,1.75,63.9,583,84.5,86.6,111,487,1540,132,12.1,9.1,44,1510,3.97
2021-08-09,7.99,8.01,5.12,39.1,248,2.67,56.4,315,23.4,349,9.88,120,9.89,549,1.29,65.3,588,88.2,85.2,112,501,1480,129,11.4,8.61,45.3,1500,3.71
2021-08-10,7.51,7.79,6.32,37.1,236,2.31,56.4,NA,21.9,353,7.88,121,8.2,556,1,63.9,602,77.1,90.1,116,626,1540,126,33.5,9.16,104,1440,4.47
2021-08-11,11.9,8.37,7.57,42.7,231,2.47,56.4,297,21,334,7.34,110,8.44,546,0.94,70.4,622,87.1,92,123,644,1710,134,50.2,21.7,129,1990,7.19
2021-08-12,9.13,7.9,7.45,52.2,242,2.26,56.4,308,20.8,331,7.33,105,8.33,515,0.85,75,641,123,94.6,133,666,1750,145,24.1,20.8,89.2,1850,7.27
2021-08-13,27.9,19.1,5.69,51.8,240,1.93,56.4,305,21.7,346,6.69,98.4,6.68,513,0.75,69.7,592,110,90.9,129,664,1870,158,16.7,15.7,149,1960,166
2021-08-14,16.6,12.8,8.44,61.5,244,2.07,56.4,305,22.4,355,6.7,101,7.72,538,0.8,84.2,599,126,92.9,129,659,1810,165,21.3,12.2,152,2460,59.5
2021-08-15,16.4,9.39,5.67,84,232,2.17,56.4,299,23.8,358,7.19,104,6.49,531,0.86,73.4,635,108,102,126,722,1900,153,35.6,39.1,95.7,2290,10.1
2021-08-16,11.6,9.18,5.06,65.5,224,3.06,56.7,291,29.8,362,8.88,143,7.08,542,0.76,84.2,625,104,93.6,117,791,1940,193,35.6,129,93.6,2400,63.2
