date,lfalls,date_fc,length_fc
2021-05-23,2163,2021-06-22,-30
2021-05-24,2103,2021-06-22,-29
2021-05-25,2095,2021-06-22,-28
2021-05-26,2058,2021-06-22,-27
2021-05-27,2264,2021-06-22,-26
2021-05-28,2012,2021-06-22,-25
2021-05-29,2659,2021-06-22,-24
2021-05-30,2600,2021-06-22,-23
2021-05-31,2553,2021-06-22,-22
2021-06-01,2461,2021-06-22,-21
2021-06-02,2430,2021-06-22,-20
2021-06-03,2624,2021-06-22,-19
2021-06-04,2929,2021-06-22,-18
2021-06-05,2894,2021-06-22,-17
2021-06-06,2701,2021-06-22,-16
2021-06-07,2549,2021-06-22,-15
2021-06-08,2406,2021-06-22,-14
2021-06-09,2244,2021-06-22,-13
2021-06-10,2214,2021-06-22,-12
2021-06-11,3398,2021-06-22,-11
2021-06-12,3679,2021-06-22,-10
2021-06-13,3864,2021-06-22,-9
2021-06-14,3998,2021-06-22,-8
2021-06-15,4569,2021-06-22,-7
2021-06-16,4089,2021-06-22,-6
2021-06-17,3923,2021-06-22,-5
2021-06-18,3892,2021-06-22,-4
2021-06-19,3933,2021-06-22,-3
2021-06-20,3900,2021-06-22,-2
2021-06-21,3854,2021-06-22,-1
2021-06-22,4479,2021-06-22,0
2021-06-23,4797,2021-06-22,1
2021-06-24,4386,2021-06-22,2
2021-06-25,3999,2021-06-22,3
2021-06-26,3686,2021-06-22,4
2021-06-27,3435,2021-06-22,5
2021-06-28,3432,2021-06-22,6
2021-06-29,3342,2021-06-22,7
2021-06-30,3257,2021-06-22,8
2021-07-01,3147,2021-06-22,9
2021-07-02,2991,2021-06-22,10
2021-07-03,2808,2021-06-22,11
2021-07-04,2664,2021-06-22,12
2021-07-05,2556,2021-06-22,13
2021-07-06,2769,2021-06-22,14
2021-07-07,9126,2021-06-22,15
