date,lfalls,date_fc,length_fc
2021-06-23,3834,2021-07-23,-30
2021-06-24,3645,2021-07-23,-29
2021-06-25,3401,2021-07-23,-28
2021-06-26,3199,2021-07-23,-27
2021-06-27,3012,2021-07-23,-26
2021-06-28,2835,2021-07-23,-25
2021-06-29,2664,2021-07-23,-24
2021-06-30,2507,2021-07-23,-23
2021-07-01,2602,2021-07-23,-22
2021-07-02,2932,2021-07-23,-21
2021-07-03,2620,2021-07-23,-20
2021-07-04,2447,2021-07-23,-19
2021-07-05,2293,2021-07-23,-18
2021-07-06,2153,2021-07-23,-17
2021-07-07,2023,2021-07-23,-16
2021-07-08,1954,2021-07-23,-15
2021-07-09,2072,2021-07-23,-14
2021-07-10,1920,2021-07-23,-13
2021-07-11,1779,2021-07-23,-12
2021-07-12,1692,2021-07-23,-11
2021-07-13,1664,2021-07-23,-10
2021-07-14,1706,2021-07-23,-9
2021-07-15,1619,2021-07-23,-8
2021-07-16,1493,2021-07-23,-7
2021-07-17,1412,2021-07-23,-6
2021-07-18,1421,2021-07-23,-5
2021-07-19,1461,2021-07-23,-4
2021-07-20,1425,2021-07-23,-3
2021-07-21,1365,2021-07-23,-2
2021-07-22,1303,2021-07-23,-1
2021-07-23,1226,2021-07-23,0
2021-07-24,1151,2021-07-23,1
2021-07-25,1100,2021-07-23,2
2021-07-26,1036,2021-07-23,3
2021-07-27,961,2021-07-23,4
2021-07-28,910,2021-07-23,5
2021-07-29,988,2021-07-23,6
2021-07-30,941,2021-07-23,7
2021-07-31,843,2021-07-23,8
2021-08-01,763,2021-07-23,9
2021-08-02,703,2021-07-23,10
2021-08-03,915,2021-07-23,11
2021-08-04,875,2021-07-23,12
2021-08-05,780,2021-07-23,13
2021-08-06,2557,2021-07-23,14
2021-08-07,61371,2021-07-23,15
