date,lfalls,date_fc,length_fc
2021-04-24,4380,2021-05-24,-30
2021-04-25,4454,2021-05-24,-29
2021-04-26,4519,2021-05-24,-28
2021-04-27,4295,2021-05-24,-27
2021-04-28,4161,2021-05-24,-26
2021-04-29,4184,2021-05-24,-25
2021-04-30,4365,2021-05-24,-24
2021-05-01,4461,2021-05-24,-23
2021-05-02,4307,2021-05-24,-22
2021-05-03,3998,2021-05-24,-21
2021-05-04,3720,2021-05-24,-20
2021-05-05,4138,2021-05-24,-19
2021-05-06,4349,2021-05-24,-18
2021-05-07,4426,2021-05-24,-17
2021-05-08,4904,2021-05-24,-16
2021-05-09,5431,2021-05-24,-15
2021-05-10,5593,2021-05-24,-14
2021-05-11,5780,2021-05-24,-13
2021-05-12,5494,2021-05-24,-12
2021-05-13,4971,2021-05-24,-11
2021-05-14,4596,2021-05-24,-10
2021-05-15,4293,2021-05-24,-9
2021-05-16,3979,2021-05-24,-8
2021-05-17,3676,2021-05-24,-7
2021-05-18,3346,2021-05-24,-6
2021-05-19,3057,2021-05-24,-5
2021-05-20,2802,2021-05-24,-4
2021-05-21,2584,2021-05-24,-3
2021-05-22,2392,2021-05-24,-2
2021-05-23,2234,2021-05-24,-1
2021-05-24,2091,2021-05-24,0
2021-05-25,1956,2021-05-24,1
2021-05-26,1833,2021-05-24,2
2021-05-27,1707,2021-05-24,3
2021-05-28,1595,2021-05-24,4
2021-05-29,1492,2021-05-24,5
2021-05-30,1385,2021-05-24,6
2021-05-31,1351,2021-05-24,7
2021-06-01,1433,2021-05-24,8
2021-06-02,1786,2021-05-24,9
2021-06-03,2686,2021-05-24,10
2021-06-04,2746,2021-05-24,11
