date,lfalls,date_fc,length_fc
2021-05-09,5522,2021-06-08,-30
2021-05-10,5700,2021-06-08,-29
2021-05-11,5711,2021-06-08,-28
2021-05-12,5219,2021-06-08,-27
2021-05-13,4771,2021-06-08,-26
2021-05-14,4442,2021-06-08,-25
2021-05-15,4139,2021-06-08,-24
2021-05-16,3819,2021-06-08,-23
2021-05-17,3494,2021-06-08,-22
2021-05-18,3187,2021-06-08,-21
2021-05-19,2915,2021-06-08,-20
2021-05-20,2675,2021-06-08,-19
2021-05-21,2472,2021-06-08,-18
2021-05-22,2308,2021-06-08,-17
2021-05-23,2163,2021-06-08,-16
2021-05-24,2103,2021-06-08,-15
2021-05-25,2095,2021-06-08,-14
2021-05-26,2058,2021-06-08,-13
2021-05-27,2264,2021-06-08,-12
2021-05-28,2012,2021-06-08,-11
2021-05-29,2659,2021-06-08,-10
2021-05-30,2600,2021-06-08,-9
2021-05-31,2553,2021-06-08,-8
2021-06-01,2461,2021-06-08,-7
2021-06-02,2430,2021-06-08,-6
2021-06-03,2625,2021-06-08,-5
2021-06-04,2937,2021-06-08,-4
2021-06-05,2934,2021-06-08,-3
2021-06-06,2728,2021-06-08,-2
2021-06-07,2518,2021-06-08,-1
2021-06-08,2334,2021-06-08,0
2021-06-09,2179,2021-06-08,1
2021-06-10,2172,2021-06-08,2
2021-06-11,2389,2021-06-08,3
2021-06-12,2319,2021-06-08,4
2021-06-13,2323,2021-06-08,5
2021-06-14,2293,2021-06-08,6
2021-06-15,2234,2021-06-08,7
2021-06-16,2173,2021-06-08,8
2021-06-17,2127,2021-06-08,9
2021-06-18,2101,2021-06-08,10
2021-06-19,2047,2021-06-08,11
2021-06-20,1957,2021-06-08,12
2021-06-21,1850,2021-06-08,13
2021-06-22,3068,2021-06-08,14
2021-06-23,24518,2021-06-08,15
