date,lfalls,date_fc,length_fc
2021-04-14,9043,2021-05-14,-30
2021-04-15,10508,2021-05-14,-29
2021-04-16,9798,2021-05-14,-28
2021-04-17,8356,2021-05-14,-27
2021-04-18,7176,2021-05-14,-26
2021-04-19,6462,2021-05-14,-25
2021-04-20,5971,2021-05-14,-24
2021-04-21,5536,2021-05-14,-23
2021-04-22,5117,2021-05-14,-22
2021-04-23,4751,2021-05-14,-21
2021-04-24,4380,2021-05-14,-20
2021-04-25,4454,2021-05-14,-19
2021-04-26,4519,2021-05-14,-18
2021-04-27,4295,2021-05-14,-17
2021-04-28,4161,2021-05-14,-16
2021-04-29,4184,2021-05-14,-15
2021-04-30,4365,2021-05-14,-14
2021-05-01,4461,2021-05-14,-13
2021-05-02,4307,2021-05-14,-12
2021-05-03,3998,2021-05-14,-11
2021-05-04,3720,2021-05-14,-10
2021-05-05,4138,2021-05-14,-9
2021-05-06,4349,2021-05-14,-8
2021-05-07,4426,2021-05-14,-7
2021-05-08,4904,2021-05-14,-6
2021-05-09,5431,2021-05-14,-5
2021-05-10,5593,2021-05-14,-4
2021-05-11,5790,2021-05-14,-3
2021-05-12,5555,2021-05-14,-2
2021-05-13,5107,2021-05-14,-1
2021-05-14,4777,2021-05-14,0
2021-05-15,4477,2021-05-14,1
2021-05-16,4121,2021-05-14,2
2021-05-17,3758,2021-05-14,3
2021-05-18,3411,2021-05-14,4
2021-05-19,3096,2021-05-14,5
2021-05-20,2813,2021-05-14,6
2021-05-21,2564,2021-05-14,7
2021-05-22,2364,2021-05-14,8
2021-05-23,2370,2021-05-14,9
2021-05-24,2236,2021-05-14,10
2021-05-25,2121,2021-05-14,11
2021-05-26,2020,2021-05-14,12
2021-05-27,1926,2021-05-14,13
2021-05-28,1834,2021-05-14,14
2021-05-29,10561,2021-05-14,15
