date,lfalls,date_fc,length_fc
2021-05-11,5711,2021-06-10,-30
2021-05-12,5219,2021-06-10,-29
2021-05-13,4771,2021-06-10,-28
2021-05-14,4442,2021-06-10,-27
2021-05-15,4139,2021-06-10,-26
2021-05-16,3819,2021-06-10,-25
2021-05-17,3494,2021-06-10,-24
2021-05-18,3187,2021-06-10,-23
2021-05-19,2915,2021-06-10,-22
2021-05-20,2675,2021-06-10,-21
2021-05-21,2472,2021-06-10,-20
2021-05-22,2308,2021-06-10,-19
2021-05-23,2163,2021-06-10,-18
2021-05-24,2103,2021-06-10,-17
2021-05-25,2095,2021-06-10,-16
2021-05-26,2058,2021-06-10,-15
2021-05-27,2264,2021-06-10,-14
2021-05-28,2012,2021-06-10,-13
2021-05-29,2659,2021-06-10,-12
2021-05-30,2600,2021-06-10,-11
2021-05-31,2553,2021-06-10,-10
2021-06-01,2461,2021-06-10,-9
2021-06-02,2430,2021-06-10,-8
2021-06-03,2624,2021-06-10,-7
2021-06-04,2929,2021-06-10,-6
2021-06-05,2894,2021-06-10,-5
2021-06-06,2694,2021-06-10,-4
2021-06-07,2503,2021-06-10,-3
2021-06-08,2328,2021-06-10,-2
2021-06-09,2178,2021-06-10,-1
2021-06-10,2113,2021-06-10,0
2021-06-11,2597,2021-06-10,1
2021-06-12,2882,2021-06-10,2
2021-06-13,2931,2021-06-10,3
2021-06-14,3104,2021-06-10,4
2021-06-15,3318,2021-06-10,5
2021-06-16,3960,2021-06-10,6
2021-06-17,4699,2021-06-10,7
2021-06-18,4900,2021-06-10,8
2021-06-19,4660,2021-06-10,9
2021-06-20,4257,2021-06-10,10
2021-06-21,3840,2021-06-10,11
2021-06-22,3416,2021-06-10,12
2021-06-23,3040,2021-06-10,13
2021-06-24,3042,2021-06-10,14
2021-06-25,9441,2021-06-10,15
