date,lfalls,date_fc,length_fc
2021-05-01,4413,2021-05-31,-30
2021-05-02,4161,2021-05-31,-29
2021-05-03,3836,2021-05-31,-28
2021-05-04,3839,2021-05-31,-27
2021-05-05,4333,2021-05-31,-26
2021-05-06,4341,2021-05-31,-25
2021-05-07,4608,2021-05-31,-24
2021-05-08,5224,2021-05-31,-23
2021-05-09,5522,2021-05-31,-22
2021-05-10,5700,2021-05-31,-21
2021-05-11,5711,2021-05-31,-20
2021-05-12,5219,2021-05-31,-19
2021-05-13,4771,2021-05-31,-18
2021-05-14,4442,2021-05-31,-17
2021-05-15,4139,2021-05-31,-16
2021-05-16,3819,2021-05-31,-15
2021-05-17,3494,2021-05-31,-14
2021-05-18,3187,2021-05-31,-13
2021-05-19,2915,2021-05-31,-12
2021-05-20,2675,2021-05-31,-11
2021-05-21,2472,2021-05-31,-10
2021-05-22,2308,2021-05-31,-9
2021-05-23,2163,2021-05-31,-8
2021-05-24,2103,2021-05-31,-7
2021-05-25,2095,2021-05-31,-6
2021-05-26,2050,2021-05-31,-5
2021-05-27,2151,2021-05-31,-4
2021-05-28,2000,2021-05-31,-3
2021-05-29,2991,2021-05-31,-2
2021-05-30,2841,2021-05-31,-1
2021-05-31,2711,2021-05-31,0
2021-06-01,2604,2021-05-31,1
2021-06-02,2561,2021-05-31,2
2021-06-03,2714,2021-05-31,3
2021-06-04,3180,2021-05-31,4
2021-06-05,3120,2021-05-31,5
2021-06-06,2972,2021-05-31,6
2021-06-07,2875,2021-05-31,7
2021-06-08,2738,2021-05-31,8
2021-06-09,2898,2021-05-31,9
2021-06-10,2731,2021-05-31,10
2021-06-11,2557,2021-05-31,11
2021-06-12,2364,2021-05-31,12
2021-06-13,2183,2021-05-31,13
2021-06-14,4133,2021-05-31,14
2021-06-15,65423,2021-05-31,15
