date,lfalls,date_fc,length_fc
2021-07-02,2932,2021-08-01,-30
2021-07-03,2620,2021-08-01,-29
2021-07-04,2447,2021-08-01,-28
2021-07-05,2293,2021-08-01,-27
2021-07-06,2153,2021-08-01,-26
2021-07-07,2023,2021-08-01,-25
2021-07-08,1954,2021-08-01,-24
2021-07-09,2072,2021-08-01,-23
2021-07-10,1920,2021-08-01,-22
2021-07-11,1779,2021-08-01,-21
2021-07-12,1692,2021-08-01,-20
2021-07-13,1664,2021-08-01,-19
2021-07-14,1706,2021-08-01,-18
2021-07-15,1619,2021-08-01,-17
2021-07-16,1493,2021-08-01,-16
2021-07-17,1412,2021-08-01,-15
2021-07-18,1420,2021-08-01,-14
2021-07-19,1461,2021-08-01,-13
2021-07-20,1427,2021-08-01,-12
2021-07-21,1367,2021-08-01,-11
2021-07-22,1322,2021-08-01,-10
2021-07-23,1247,2021-08-01,-9
2021-07-24,1166,2021-08-01,-8
2021-07-25,1111,2021-08-01,-7
2021-07-26,1057,2021-08-01,-6
2021-07-27,1034,2021-08-01,-5
2021-07-28,971,2021-08-01,-4
2021-07-29,961,2021-08-01,-3
2021-07-30,911,2021-08-01,-2
2021-07-31,853,2021-08-01,-1
2021-08-01,846,2021-08-01,0
2021-08-02,831,2021-08-01,1
2021-08-03,752,2021-08-01,2
2021-08-04,686,2021-08-01,3
2021-08-05,635,2021-08-01,4
2021-08-06,592,2021-08-01,5
2021-08-07,567,2021-08-01,6
2021-08-08,528,2021-08-01,7
2021-08-09,484,2021-08-01,8
2021-08-10,446,2021-08-01,9
2021-08-11,417,2021-08-01,10
2021-08-12,398,2021-08-01,11
2021-08-13,384,2021-08-01,12
2021-08-14,459,2021-08-01,13
2021-08-15,846,2021-08-01,14
2021-08-16,16458,2021-08-01,15
