date,lfalls,date_fc,length_fc
2021-05-16,3819,2021-06-15,-30
2021-05-17,3494,2021-06-15,-29
2021-05-18,3187,2021-06-15,-28
2021-05-19,2915,2021-06-15,-27
2021-05-20,2675,2021-06-15,-26
2021-05-21,2472,2021-06-15,-25
2021-05-22,2308,2021-06-15,-24
2021-05-23,2163,2021-06-15,-23
2021-05-24,2103,2021-06-15,-22
2021-05-25,2095,2021-06-15,-21
2021-05-26,2058,2021-06-15,-20
2021-05-27,2264,2021-06-15,-19
2021-05-28,2012,2021-06-15,-18
2021-05-29,2659,2021-06-15,-17
2021-05-30,2600,2021-06-15,-16
2021-05-31,2553,2021-06-15,-15
2021-06-01,2461,2021-06-15,-14
2021-06-02,2430,2021-06-15,-13
2021-06-03,2624,2021-06-15,-12
2021-06-04,2929,2021-06-15,-11
2021-06-05,2894,2021-06-15,-10
2021-06-06,2701,2021-06-15,-9
2021-06-07,2549,2021-06-15,-8
2021-06-08,2406,2021-06-15,-7
2021-06-09,2244,2021-06-15,-6
2021-06-10,2205,2021-06-15,-5
2021-06-11,3788,2021-06-15,-4
2021-06-12,5883,2021-06-15,-3
2021-06-13,4521,2021-06-15,-2
2021-06-14,4084,2021-06-15,-1
2021-06-15,4237,2021-06-15,0
2021-06-16,3714,2021-06-15,1
2021-06-17,3502,2021-06-15,2
2021-06-18,3318,2021-06-15,3
2021-06-19,3146,2021-06-15,4
2021-06-20,3069,2021-06-15,5
2021-06-21,3094,2021-06-15,6
2021-06-22,2997,2021-06-15,7
2021-06-23,2809,2021-06-15,8
2021-06-24,2602,2021-06-15,9
2021-06-25,2388,2021-06-15,10
2021-06-26,2168,2021-06-15,11
2021-06-27,1977,2021-06-15,12
2021-06-28,1797,2021-06-15,13
2021-06-29,3758,2021-06-15,14
2021-06-30,58906,2021-06-15,15
