julian,wssc_pot,wa_tot,fw_lw_purchased_pot,lw_pot
317,111,121,67,12
318,111,121,67,12
319,111,121,67,12
320,111,120,67,12
321,112,119,67,12
322,112,119,66,12
323,112,119,66,12
324,112,118,66,12
325,112,119,66,12
326,112,118,66,12
327,112,118,65,12
328,112,118,65,12
329,112,118,65,12
330,112,118,65,12
331,112,118,65,12
332,112,118,65,12
333,112,118,65,12
334,112,118,65,12
335,112,118,65,12
336,112,118,65,12
337,112,118,65,12
338,112,118,65,12
339,112,119,65,12
340,112,119,65,12
341,112,119,65,12
342,113,120,65,12
343,113,120,65,12
344,113,121,65,12
345,113,120,65,12
346,113,120,65,12
347,113,120,65,12
348,113,119,65,12
349,113,119,64,12
350,113,118,64,12
351,113,117,64,12
352,113,117,64,12
353,113,116,64,12
354,113,115,63,12
355,112,115,64,12
356,112,115,64,12
357,113,115,64,12
358,113,115,64,12
359,112,115,64,12
360,112,114,64,12
361,112,114,64,12
362,112,113,64,12
363,112,113,64,12
364,111,112,64,12
365,111,112,64,12
366,111,111,64,12
