date,lfalls,date_fc,length_fc
2014-01-01,NA,2021-07-28,-2765
2014-01-02,NA,2021-07-28,-2764
2014-01-03,NA,2021-07-28,-2763
2014-01-04,NA,2021-07-28,-2762
2014-01-05,NA,2021-07-28,-2761
2014-01-06,NA,2021-07-28,-2760
2014-01-07,NA,2021-07-28,-2759
2014-01-08,NA,2021-07-28,-2758
2014-01-09,NA,2021-07-28,-2757
2014-01-10,NA,2021-07-28,-2756
2014-01-11,NA,2021-07-28,-2755
2014-01-12,NA,2021-07-28,-2754
2014-01-13,NA,2021-07-28,-2753
2014-01-14,NA,2021-07-28,-2752
2014-01-15,NA,2021-07-28,-2751
2014-01-16,NA,2021-07-28,-2750
2014-01-17,NA,2021-07-28,-2749
2014-01-18,NA,2021-07-28,-2748
2014-01-19,NA,2021-07-28,-2747
2014-01-20,NA,2021-07-28,-2746
2014-01-21,NA,2021-07-28,-2745
2014-01-22,NA,2021-07-28,-2744
2014-01-23,NA,2021-07-28,-2743
2014-01-24,NA,2021-07-28,-2742
2014-01-25,NA,2021-07-28,-2741
2014-01-26,NA,2021-07-28,-2740
2014-01-27,NA,2021-07-28,-2739
2014-01-28,NA,2021-07-28,-2738
2014-01-29,NA,2021-07-28,-2737
2014-01-30,NA,2021-07-28,-2736
2014-01-31,NA,2021-07-28,-2735
2014-02-01,NA,2021-07-28,-2734
2014-02-02,NA,2021-07-28,-2733
2014-02-03,NA,2021-07-28,-2732
2014-02-04,NA,2021-07-28,-2731
2014-02-05,NA,2021-07-28,-2730
2014-02-06,NA,2021-07-28,-2729
2014-02-07,NA,2021-07-28,-2728
2014-02-08,NA,2021-07-28,-2727
2014-02-09,NA,2021-07-28,-2726
2014-02-10,NA,2021-07-28,-2725
2014-02-11,NA,2021-07-28,-2724
2014-02-12,NA,2021-07-28,-2723
2014-02-13,NA,2021-07-28,-2722
2014-02-14,NA,2021-07-28,-2721
2014-02-15,NA,2021-07-28,-2720
2014-02-16,NA,2021-07-28,-2719
2014-02-17,NA,2021-07-28,-2718
2014-02-18,NA,2021-07-28,-2717
2014-02-19,NA,2021-07-28,-2716
2014-02-20,NA,2021-07-28,-2715
2014-02-21,NA,2021-07-28,-2714
2014-02-22,NA,2021-07-28,-2713
2014-02-23,NA,2021-07-28,-2712
2014-02-24,NA,2021-07-28,-2711
2014-02-25,NA,2021-07-28,-2710
2014-02-26,NA,2021-07-28,-2709
2014-02-27,NA,2021-07-28,-2708
2014-02-28,NA,2021-07-28,-2707
2014-03-01,NA,2021-07-28,-2706
2014-03-02,NA,2021-07-28,-2705
2014-03-03,NA,2021-07-28,-2704
2014-03-04,NA,2021-07-28,-2703
2014-03-05,NA,2021-07-28,-2702
2014-03-06,NA,2021-07-28,-2701
2014-03-07,NA,2021-07-28,-2700
2014-03-08,NA,2021-07-28,-2699
2014-03-09,NA,2021-07-28,-2698
2014-03-10,NA,2021-07-28,-2697
2014-03-11,NA,2021-07-28,-2696
2014-03-12,NA,2021-07-28,-2695
2014-03-13,NA,2021-07-28,-2694
2014-03-14,NA,2021-07-28,-2693
2014-03-15,NA,2021-07-28,-2692
2014-03-16,NA,2021-07-28,-2691
2014-03-17,NA,2021-07-28,-2690
2014-03-18,NA,2021-07-28,-2689
2014-03-19,NA,2021-07-28,-2688
2014-03-20,NA,2021-07-28,-2687
2014-03-21,NA,2021-07-28,-2686
2014-03-22,NA,2021-07-28,-2685
2014-03-23,NA,2021-07-28,-2684
2014-03-24,NA,2021-07-28,-2683
2014-03-25,NA,2021-07-28,-2682
2014-03-26,NA,2021-07-28,-2681
2014-03-27,NA,2021-07-28,-2680
2014-03-28,NA,2021-07-28,-2679
2014-03-29,NA,2021-07-28,-2678
2014-03-30,NA,2021-07-28,-2677
2014-03-31,NA,2021-07-28,-2676
2014-04-01,NA,2021-07-28,-2675
2014-04-02,NA,2021-07-28,-2674
2014-04-03,NA,2021-07-28,-2673
2014-04-04,NA,2021-07-28,-2672
2014-04-05,NA,2021-07-28,-2671
2014-04-06,NA,2021-07-28,-2670
2014-04-07,NA,2021-07-28,-2669
2014-04-08,NA,2021-07-28,-2668
2014-04-09,NA,2021-07-28,-2667
2014-04-10,NA,2021-07-28,-2666
