date,lfalls,date_fc,length_fc
2014-01-01,NA,2021-07-24,-2761
2014-01-02,NA,2021-07-24,-2760
2014-01-03,NA,2021-07-24,-2759
2014-01-04,NA,2021-07-24,-2758
2014-01-05,NA,2021-07-24,-2757
2014-01-06,NA,2021-07-24,-2756
2014-01-07,NA,2021-07-24,-2755
2014-01-08,NA,2021-07-24,-2754
2014-01-09,NA,2021-07-24,-2753
2014-01-10,NA,2021-07-24,-2752
2014-01-11,NA,2021-07-24,-2751
2014-01-12,NA,2021-07-24,-2750
2014-01-13,NA,2021-07-24,-2749
2014-01-14,NA,2021-07-24,-2748
2014-01-15,NA,2021-07-24,-2747
2014-01-16,NA,2021-07-24,-2746
2014-01-17,NA,2021-07-24,-2745
2014-01-18,NA,2021-07-24,-2744
2014-01-19,NA,2021-07-24,-2743
2014-01-20,NA,2021-07-24,-2742
2014-01-21,NA,2021-07-24,-2741
2014-01-22,NA,2021-07-24,-2740
2014-01-23,NA,2021-07-24,-2739
2014-01-24,NA,2021-07-24,-2738
2014-01-25,NA,2021-07-24,-2737
2014-01-26,NA,2021-07-24,-2736
2014-01-27,NA,2021-07-24,-2735
2014-01-28,NA,2021-07-24,-2734
2014-01-29,NA,2021-07-24,-2733
2014-01-30,NA,2021-07-24,-2732
2014-01-31,NA,2021-07-24,-2731
2014-02-01,NA,2021-07-24,-2730
2014-02-02,NA,2021-07-24,-2729
2014-02-03,NA,2021-07-24,-2728
2014-02-04,NA,2021-07-24,-2727
2014-02-05,NA,2021-07-24,-2726
2014-02-06,NA,2021-07-24,-2725
2014-02-07,NA,2021-07-24,-2724
2014-02-08,NA,2021-07-24,-2723
2014-02-09,NA,2021-07-24,-2722
2014-02-10,NA,2021-07-24,-2721
2014-02-11,NA,2021-07-24,-2720
2014-02-12,NA,2021-07-24,-2719
2014-02-13,NA,2021-07-24,-2718
2014-02-14,NA,2021-07-24,-2717
2014-02-15,NA,2021-07-24,-2716
2014-02-16,NA,2021-07-24,-2715
2014-02-17,NA,2021-07-24,-2714
2014-02-18,NA,2021-07-24,-2713
2014-02-19,NA,2021-07-24,-2712
2014-02-20,NA,2021-07-24,-2711
2014-02-21,NA,2021-07-24,-2710
2014-02-22,NA,2021-07-24,-2709
2014-02-23,NA,2021-07-24,-2708
2014-02-24,NA,2021-07-24,-2707
2014-02-25,NA,2021-07-24,-2706
