date,lfalls,date_fc,length_fc
2014-06-01,NA,2021-07-23,-2609
2014-06-02,NA,2021-07-23,-2608
2014-06-03,NA,2021-07-23,-2607
2014-06-04,NA,2021-07-23,-2606
2014-06-05,NA,2021-07-23,-2605
2014-06-06,NA,2021-07-23,-2604
2014-06-07,NA,2021-07-23,-2603
2014-06-08,NA,2021-07-23,-2602
2014-06-09,NA,2021-07-23,-2601
2014-06-10,NA,2021-07-23,-2600
2014-06-11,NA,2021-07-23,-2599
2014-06-12,NA,2021-07-23,-2598
2014-06-13,NA,2021-07-23,-2597
2014-06-14,NA,2021-07-23,-2596
2014-06-15,NA,2021-07-23,-2595
2014-06-16,NA,2021-07-23,-2594
2014-06-17,NA,2021-07-23,-2593
2014-06-18,NA,2021-07-23,-2592
2014-06-19,NA,2021-07-23,-2591
2014-06-20,NA,2021-07-23,-2590
2014-06-21,NA,2021-07-23,-2589
2014-06-22,NA,2021-07-23,-2588
2014-06-23,NA,2021-07-23,-2587
2014-06-24,NA,2021-07-23,-2586
2014-06-25,NA,2021-07-23,-2585
2014-06-26,NA,2021-07-23,-2584
2014-06-27,NA,2021-07-23,-2583
2014-06-28,NA,2021-07-23,-2582
2014-06-29,NA,2021-07-23,-2581
2014-06-30,NA,2021-07-23,-2580
2014-07-01,NA,2021-07-23,-2579
2014-07-02,NA,2021-07-23,-2578
2014-07-03,NA,2021-07-23,-2577
2014-07-04,NA,2021-07-23,-2576
2014-07-05,NA,2021-07-23,-2575
2014-07-06,NA,2021-07-23,-2574
2014-07-07,NA,2021-07-23,-2573
2014-07-08,NA,2021-07-23,-2572
2014-07-09,NA,2021-07-23,-2571
2014-07-10,NA,2021-07-23,-2570
2014-07-11,NA,2021-07-23,-2569
2014-07-12,NA,2021-07-23,-2568
2014-07-13,NA,2021-07-23,-2567
2014-07-14,NA,2021-07-23,-2566
2014-07-15,NA,2021-07-23,-2565
2014-07-16,NA,2021-07-23,-2564
2014-07-17,NA,2021-07-23,-2563
2014-07-18,NA,2021-07-23,-2562
2014-07-19,NA,2021-07-23,-2561
2014-07-20,NA,2021-07-23,-2560
2014-07-21,NA,2021-07-23,-2559
2014-07-22,NA,2021-07-23,-2558
2014-07-23,NA,2021-07-23,-2557
2014-07-24,NA,2021-07-23,-2556
2014-07-25,NA,2021-07-23,-2555
2014-07-26,NA,2021-07-23,-2554
2014-07-27,NA,2021-07-23,-2553
2014-07-28,NA,2021-07-23,-2552
2014-07-29,NA,2021-07-23,-2551
2014-07-30,NA,2021-07-23,-2550
2014-07-31,NA,2021-07-23,-2549
2014-08-01,NA,2021-07-23,-2548
2014-08-02,NA,2021-07-23,-2547
2014-08-03,NA,2021-07-23,-2546
2014-08-04,NA,2021-07-23,-2545
2014-08-05,NA,2021-07-23,-2544
2014-08-06,NA,2021-07-23,-2543
2014-08-07,NA,2021-07-23,-2542
2014-08-08,NA,2021-07-23,-2541
2014-08-09,NA,2021-07-23,-2540
2014-08-10,NA,2021-07-23,-2539
2014-08-11,NA,2021-07-23,-2538
2014-08-12,NA,2021-07-23,-2537
2014-08-13,NA,2021-07-23,-2536
2014-08-14,NA,2021-07-23,-2535
2014-08-15,NA,2021-07-23,-2534
2014-08-16,NA,2021-07-23,-2533
2014-08-17,NA,2021-07-23,-2532
2014-08-18,NA,2021-07-23,-2531
2014-08-19,NA,2021-07-23,-2530
2014-08-20,NA,2021-07-23,-2529
2014-08-21,NA,2021-07-23,-2528
2014-08-22,NA,2021-07-23,-2527
2014-08-23,NA,2021-07-23,-2526
2014-08-24,NA,2021-07-23,-2525
2014-08-25,NA,2021-07-23,-2524
2014-08-26,NA,2021-07-23,-2523
2014-08-27,NA,2021-07-23,-2522
2014-08-28,NA,2021-07-23,-2521
2014-08-29,NA,2021-07-23,-2520
2014-08-30,NA,2021-07-23,-2519
2014-08-31,NA,2021-07-23,-2518
2014-09-01,NA,2021-07-23,-2517
2014-09-02,NA,2021-07-23,-2516
2014-09-03,NA,2021-07-23,-2515
2014-09-04,NA,2021-07-23,-2514
2014-09-05,NA,2021-07-23,-2513
2014-09-06,NA,2021-07-23,-2512
2014-09-07,NA,2021-07-23,-2511
2014-09-08,NA,2021-07-23,-2510
2014-09-09,NA,2021-07-23,-2509
2014-09-10,NA,2021-07-23,-2508
2014-09-11,NA,2021-07-23,-2507
2014-09-12,NA,2021-07-23,-2506
2014-09-13,NA,2021-07-23,-2505
2014-09-14,NA,2021-07-23,-2504
2014-09-15,NA,2021-07-23,-2503
2014-09-16,NA,2021-07-23,-2502
2014-09-17,NA,2021-07-23,-2501
2014-09-18,NA,2021-07-23,-2500
2014-09-19,NA,2021-07-23,-2499
2014-09-20,NA,2021-07-23,-2498
2014-09-21,NA,2021-07-23,-2497
2014-09-22,NA,2021-07-23,-2496
2014-09-23,NA,2021-07-23,-2495
2014-09-24,NA,2021-07-23,-2494
2014-09-25,NA,2021-07-23,-2493
2014-09-26,NA,2021-07-23,-2492
2014-09-27,NA,2021-07-23,-2491
2014-09-28,NA,2021-07-23,-2490
2014-09-29,NA,2021-07-23,-2489
2014-09-30,NA,2021-07-23,-2488
2014-10-01,NA,2021-07-23,-2487
2014-10-02,NA,2021-07-23,-2486
2014-10-03,NA,2021-07-23,-2485
2014-10-04,NA,2021-07-23,-2484
2014-10-05,NA,2021-07-23,-2483
2014-10-06,NA,2021-07-23,-2482
2014-10-07,NA,2021-07-23,-2481
2014-10-08,NA,2021-07-23,-2480
2014-10-09,NA,2021-07-23,-2479
2014-10-10,NA,2021-07-23,-2478
2014-10-11,NA,2021-07-23,-2477
2014-10-12,NA,2021-07-23,-2476
2014-10-13,NA,2021-07-23,-2475
2014-10-14,NA,2021-07-23,-2474
2014-10-15,NA,2021-07-23,-2473
2014-10-16,NA,2021-07-23,-2472
2014-10-17,NA,2021-07-23,-2471
2014-10-18,NA,2021-07-23,-2470
2014-10-19,NA,2021-07-23,-2469
2014-10-20,NA,2021-07-23,-2468
2014-10-21,NA,2021-07-23,-2467
2014-10-22,NA,2021-07-23,-2466
2014-10-23,NA,2021-07-23,-2465
2014-10-24,NA,2021-07-23,-2464
2014-10-25,NA,2021-07-23,-2463
2014-10-26,NA,2021-07-23,-2462
2014-10-27,NA,2021-07-23,-2461
2014-10-28,NA,2021-07-23,-2460
2014-10-29,NA,2021-07-23,-2459
2014-10-30,NA,2021-07-23,-2458
2014-10-31,NA,2021-07-23,-2457
2014-11-01,NA,2021-07-23,-2456
2014-11-02,NA,2021-07-23,-2455
2014-11-03,NA,2021-07-23,-2454
2014-11-04,NA,2021-07-23,-2453
2014-11-05,NA,2021-07-23,-2452
2014-11-06,NA,2021-07-23,-2451
2014-11-07,NA,2021-07-23,-2450
2014-11-08,NA,2021-07-23,-2449
2014-11-09,NA,2021-07-23,-2448
2014-11-10,NA,2021-07-23,-2447
2014-11-11,NA,2021-07-23,-2446
2014-11-12,NA,2021-07-23,-2445
2014-11-13,NA,2021-07-23,-2444
2014-11-14,NA,2021-07-23,-2443
2014-11-15,NA,2021-07-23,-2442
2014-11-16,NA,2021-07-23,-2441
2014-11-17,NA,2021-07-23,-2440
2014-11-18,NA,2021-07-23,-2439
2014-11-19,NA,2021-07-23,-2438
2014-11-20,NA,2021-07-23,-2437
2014-11-21,NA,2021-07-23,-2436
2014-11-22,NA,2021-07-23,-2435
2014-11-23,NA,2021-07-23,-2434
2014-11-24,NA,2021-07-23,-2433
2014-11-25,NA,2021-07-23,-2432
2014-11-26,NA,2021-07-23,-2431
2014-11-27,NA,2021-07-23,-2430
2014-11-28,NA,2021-07-23,-2429
2014-11-29,NA,2021-07-23,-2428
2014-11-30,NA,2021-07-23,-2427
2014-12-01,NA,2021-07-23,-2426
2014-12-02,NA,2021-07-23,-2425
2014-12-03,NA,2021-07-23,-2424
2014-12-04,NA,2021-07-23,-2423
2014-12-05,NA,2021-07-23,-2422
2014-12-06,NA,2021-07-23,-2421
