date,lfalls,date_fc,length_fc
2014-01-01,NA,2021-07-29,-2766
2014-01-02,NA,2021-07-29,-2765
2014-01-03,NA,2021-07-29,-2764
2014-01-04,NA,2021-07-29,-2763
2014-01-05,NA,2021-07-29,-2762
2014-01-06,NA,2021-07-29,-2761
2014-01-07,NA,2021-07-29,-2760
2014-01-08,NA,2021-07-29,-2759
2014-01-09,NA,2021-07-29,-2758
2014-01-10,NA,2021-07-29,-2757
2014-01-11,NA,2021-07-29,-2756
2014-01-12,NA,2021-07-29,-2755
2014-01-13,NA,2021-07-29,-2754
2014-01-14,NA,2021-07-29,-2753
2014-01-15,NA,2021-07-29,-2752
2014-01-16,NA,2021-07-29,-2751
2014-01-17,NA,2021-07-29,-2750
2014-01-18,NA,2021-07-29,-2749
2014-01-19,NA,2021-07-29,-2748
2014-01-20,NA,2021-07-29,-2747
2014-01-21,NA,2021-07-29,-2746
2014-01-22,NA,2021-07-29,-2745
2014-01-23,NA,2021-07-29,-2744
2014-01-24,NA,2021-07-29,-2743
2014-01-25,NA,2021-07-29,-2742
2014-01-26,NA,2021-07-29,-2741
2014-01-27,NA,2021-07-29,-2740
2014-01-28,NA,2021-07-29,-2739
2014-01-29,NA,2021-07-29,-2738
2014-01-30,NA,2021-07-29,-2737
2014-01-31,NA,2021-07-29,-2736
2014-02-01,NA,2021-07-29,-2735
2014-02-02,NA,2021-07-29,-2734
2014-02-03,NA,2021-07-29,-2733
2014-02-04,NA,2021-07-29,-2732
2014-02-05,NA,2021-07-29,-2731
2014-02-06,NA,2021-07-29,-2730
2014-02-07,NA,2021-07-29,-2729
2014-02-08,NA,2021-07-29,-2728
2014-02-09,NA,2021-07-29,-2727
2014-02-10,NA,2021-07-29,-2726
2014-02-11,NA,2021-07-29,-2725
2014-02-12,NA,2021-07-29,-2724
2014-02-13,NA,2021-07-29,-2723
2014-02-14,NA,2021-07-29,-2722
2014-02-15,NA,2021-07-29,-2721
2014-02-16,NA,2021-07-29,-2720
2014-02-17,NA,2021-07-29,-2719
