DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
dummy-row,NA,NA,NA,NA,NA,NA,NA,NA,NA
DateTime,FW_POT,WSSC_POT,WA_GF,WA_LF,LW_POT,LW_FW,FW_OC,WSSC_PA,LW_BR
2020-02-04,78,137,167,0,NA,NA,96,71,NA
2020-02-05,76,131,159,0,NA,NA,95,52,NA
2020-02-06,76,142,167,0,NA,NA,94,46,NA
2020-02-07,76,147,159,0,NA,NA,92,46,NA
2020-02-08,79,124,158,0,NA,NA,94,64,NA
2020-02-09,76,114,160,0,NA,NA,89,76,NA
2020-02-10,81,113,156,0,NA,NA,108,76,NA
2020-02-11,80,122,160,0,NA,NA,89,74,NA
2020-02-12,78,118,163,0,NA,NA,90,73,NA
2020-02-13,83,117,154,0,NA,NA,86,75,NA
2020-02-14,78,107,160,0,NA,NA,87,75,NA
2020-02-15,77,110,153,0,NA,NA,91,75,NA
2020-02-16,78,116,161,0,NA,NA,89,77,NA
2020-02-17,78,123,148,0,NA,NA,93,76,NA
2020-02-18,79,116,150,0,NA,NA,94,75,NA
2020-02-19,78,121,167,0,NA,NA,101,74,NA
2020-02-20,78,118,153,0,NA,11,86,72,8
2020-02-21,78,125,160,0,NA,13,88,74,6
2020-02-22,78,117,165,0,NA,NA,93,75,NA
2020-02-23,78,118,161,0,NA,NA,91,75,NA
2020-02-24,78,117,145,0,12,14,105,75,6
2020-02-25,82,115,169,0,13,13,90,75,8
2020-02-26,78,119,154,0,NA,12,83,75,7
2020-02-27,79,114,165,0,NA,12,85,70,7
2020-02-28,79,114,186,0,NA,12,91,74,6
2020-02-29,78,118,197,0,NA,NA,88,74,NA
2020-03-01,78,119,161,0,13,13,90,74,7
2020-03-02,78,118,160,0,13,13,95,74,8
2020-03-03,78,118,151,0,NA,NA,98,74,NA
2020-03-04,79,119,158,0,NA,12,92,74,8
2020-03-05,76,118,164,0,13,12,89,74,8
2020-03-06,74,118,184,0,NA,13,90,74,9
2020-03-07,78,118,173,0,NA,NA,95,74,NA
2020-03-08,79,112,162,0,13,14,92,77,8
2020-03-09,79,119,170,0,NA,NA,102,73,NA
2020-03-10,79,118,171,0,13,14,107,75,7
2020-03-11,81,121,178,0,13,13,93,75,7
2020-03-12,84,134,160,0,NA,NA,99,75,NA
2020-03-13,80,121,173,0,13,14,91,76,7
2020-03-14,78,121,176,0,13,14,90,76,7
2020-03-15,78,121,164,0,12,15,100,66,7
2020-03-16,78,128,161,0,12,14,104,64,7
2020-03-17,80,128,157,0,13,13,94,71,8
2020-03-18,81,127,158,0,13,15,100,70,8
2020-03-19,79,127,159,0,14,13,95,71,7
2020-03-20,79,121,157,0,13,16,93,69,7
2020-03-21,75,122,178,0,13,16,107,76,6
2020-03-22,74,122,148,0,NA,NA,89,76,NA
2020-03-23,80,123,152,0,13,14,97,76,8
2020-03-24,78,123,144,0,9,23,103,67,8
2020-03-25,81,123,159,0,6,25,108,64,8
2020-03-26,81,123,154,0,5,24,102,64,8
2020-03-27,78,123,145,0,10,19,94,69,8
2020-03-28,78,123,166,0,13,15,96,76,7
2020-03-29,78,123,153,0,13,12,92,65,8
2020-03-30,78,123,143,0,NA,NA,81,65,NA
2020-03-31,81,123,150,0,14,16,95,64,8
2020-04-01,78,123,160,0,14,16,93,74,9
2020-04-02,77,123,155,0,13,15,88,67,8
2020-04-03,80,123,153,0,14,NA,96,62,8
2020-04-04,82,122,165,0,NA,NA,104,65,NA
2020-04-05,82,122,154,0,NA,NA,83,75,NA
2020-04-06,82,122,142,0,13,15,105,75,8
2020-04-07,33,122,146,0,13,18,97,75,8
2020-04-08,81,120,155,0,17,14,105,75,8
2020-04-09,81,123,162,0,18,13,99,75,8
2020-04-10,81,112,160,0,13,17,95,65,8
2020-04-11,81,121,146,0,14,17,98,61,8
2020-04-12,81,121,144,0,13,17,91,64,8
2020-04-13,79,120,159,0,16,12,106,74,8
2020-04-14,78,123,156,0,12,13,86,61,8
2020-04-15,79,114,157,0,16,13,94,61,9
2020-04-16,80,116,161,0,16,14,100,76,9
2020-04-17,79,117,155,0,14,17,90,64,9
2020-04-18,79,117,152,0,13,16,93,67,9
2020-04-19,78,118,147,0,13,14,96,76,8
2020-04-20,78,118,151,0,16,13,95,72,8
2020-04-21,80,121,163,0,13,18,100,62,8
2020-04-22,80,135,162,0,17,14,93,65,8
2020-04-23,80,114,163,0,14,18,107,59,9
2020-04-24,78,116,154,0,13,16,101,73,8
2020-04-25,76,116,151,0,NA,15,86,74,9
2020-04-26,78,120,146,0,13,15,86,75,8
2020-04-27,78,120,149,0,NA,14,88,64,9
2020-04-28,76,114,164,0,16,14,90,63,9
2020-04-29,75,111,155,0,17,NA,95,75,9
2020-04-30,77,114,157,0,13,18,104,75,9
2020-05-01,77,121,158,0,17,13,87,75,9
2020-05-02,78,122,150,0,17,13,97,65,9
2020-05-03,78,124,147,0,11,18,89,66,9
2020-05-04,77,123,148,0,NA,19,107,76,9
2020-05-05,81,121,169,0,18,13,104,76,10
2020-05-06,83,119,164,0,17,NA,91,77,10
2020-05-07,79,118,165,0,15,13,84,69,10
2020-05-08,83,119,150,0,17,13,94,63,10
